,cos_tr,cos_te,c,parsed_body_ans
81,,,,assignments start from the fourth tutorial.you will find a 'assignment' tab on the right side under 'pre-requisite' tab for that tutorial.
82,,,,"in case you are using ubuntu, along with the mysql connector you also need to install the python-devel packages systemwide.please also ensure that you are running your code in the same environment as the one in which you have installed the mysql connector"
83,,,,check the below link or you can google and find it. you can ask your system administrator to look into your problem.https://spoken-tutorial.org/media/videos/128/1377/resources/installation-of-frontaccounting-on-windows-os-additionalmaterial.pdf
84,,,,"hello,keep the cursor on the component. right click and choose move component  or drag  component or orient component.alternatively keep the cursor on the component and use the shortcut key m to move the component."
85,,,,"yes of course we can do so. we have to show that in our planning and mapping of planned activities to pos, peos & cos.we even associate marks in rubrics for assignment submissions."
86,,,,mixtex 2.9 supports only 64bit os.so i kindly recommend you to try any online latex compilers for your learning and practice.
87,,,,at 10.13thanks for pointing out the correction. we will correct the tutorial and upload it.at 10.38the bow will be of red color in the assignment's end result. i request you to perform the assignment once againby following the video properly.
88,,,,"can you give us more details about the circuit you want to simulate? if the component is not there in oscad, we shall create it and let you know how you can use it. send us a screenshot/link of the circuit you want to simulate."
89,,,,kindly check your code with the code given in the code files link. this may help you to rectify the error.
90,,,,by using usb 
91,,,,"you have not created any variable called delte_lplease carefully check the variable names that you have used earlier. in case there is no variable declared, please declare a variable called delta_l and add values to that variable"
92,,,,"we tried running the commands as shown below and got the output: ------------------------------------------------------------------------------------------------> str(movies$mpaa_rating) factor w/ 6 levels ""g"",""nc-17"",""pg"",..: 5 4 5 3 5 6 4 5 6 6 ...> levels(movies$mpaa_rating)[1] ""g""       ""nc-17""   ""pg""      ""pg-13""   ""r""       ""unrated""-----------------------------------------------------------------------------------------------please ensure that you have loaded the dataset in the environment. "
93,,,,"hi...the arduino can multiplex as shown, driving 20ma to the parallel segments, and pulling the common cathode low on the  active device.several folks here recently have done just that.only drawback is that it uses 11 pins. max7219/7221 will letyou control up to displays, handles all the multiplexing, updating is as simple as writing a value to 1 of 8 registers."
94,,,,yes
95,,,,"m4 = asmatrix([[2,-3,1], [2,0,-1], [1,4,5]]) #normal 3x3 matrix im4 = inv(m4) #inverse of the matrix m4 print(allclose(im4*m4, asmatrix(eye(3)))) #eye(3) is a 3x3 identity matrix and allclose checks whether both are same or not."
96,,,,from a spoken tutorial i will start learning command by one time.
97,,,,"dear haremohan,you can try now.  you will be able to download the tutorials without any errors.nancy varkeyspmspoken tutorial project"
98,,,,please go to this link and install libreoffice suite if you have ubuntu linuxhttps://spoken-tutorial.org/watch/libreoffice+installation/libreoffice+suite+installation+on+linux+os/english/please go to this link and install libreoffice suite if you have windows oshttps://spoken-tutorial.org/watch/libreoffice+installation/libreoffice+suite+installation+on+windows+os/english/
99,,,,"from your screenshot, exact error is not clear.please check the above criteria which is specified in the thread.try the option specified in the below link:https://stackoverflow.com/questions/47001656/unable-to-resolve-dependency-android-studio-3-0final suggestion is to create a new project and try one more time."
100,,,,"helloto understand the difference between typedef and union, pls go through the spoken tutorial ""union and typedef"" under the ""advance c"" course on our website.http://spoken-tutorial.org/tutorial-search/?search_foss=advance+c&search_language=english"
101,,,,"#include<iostream>using namespace std;int a=10;int b=5;void main (){int diff;diff=a-b;cout<<""diff of a and b is ""<<diff<<""\n"";}int main (){sub ();return 0;}output of this program will bediff of a and b is 5"
102,,,,"most of the magic commands remain the same, some commands like cat may not work, you can use !type filename commands to view contents of the file instead.some native commands may be different depending on which os you use.please let us know any specific commands that do not seem to work and we will be able to answer your query better."
103,,,,"checked the configuration and java. the internet also looks stable.further tried other possibilities as mentioned in quora. still, i could not able to resolve the issue. below is the error that occurs repetitively. kindly help me with it where i had gone wrong.unable to resolve dependency for ':app@debug/compileclasspath': could not find any version that matches com.android.support:appcompat-v7:29.+."
104,,,,yes
105,,,,"delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link."
106,,,,x='b'select x;case x =='a'    disp(x)case x=='b'    disp(x)case x=='c'    disp(x)end     you can write multiple cases like this
107,,,,"with i=o:12output is [1 3 5...23 25] but not coming out of the loop continue to displayhow to come out , working on that ,please check if one can help "
108,,,,have encountered a similar problem. i dont have the option run as adminstrator. there is only run. what do i do about it? got the icon on the desktop but it isnt opening
109,,,,in the tutorial we have used 220 ohm resistor. any resistor with value < 1k ohm will work.
110,,,,"the cells along y direction are kept the same for both blocks for uniformity. the number of cells along y axis for both the blocks could be different. however, the cells along x and y directions are kept the same so that the face, shared by the 2 blocks, has the same mesh structure on either side of it. in such cases, the number of cells, expansion ratio etc. need to be kept the same. regards,ashley"
111,,,,it seems that the function part is not indented properly.
112,,,,the internet has a lot of  information on gedit text editor
113,,,,"in dwsim  version 5.7 and onward object palette is located at bottom of flowsheet canvas. go to ""separators/ tank"" tab from this object palette. locate ""gas-liquid separator"" in this tab. in newer versions separator vessel name is changed to gas-liquid separator."
114,,,,it is possible that numpy is not installed in the system or unavailable in the python path
115,,,,it's the 3rd release of 3.4 version 
116,,,,please go through the below link for installation of moodle on windows 10. (see the second page of the .pdf file)https://spoken-tutorial.org/media/videos/97/moodle-learning-management-system-installation-sheet-english.pdf
117,,,,"dear varsha,a1.pls refer to the spoken tutorials in the intermediate level of the koha series.  they explain how to transfer data from excel to koha.hope these will be useful to help you understand how to transfer existing data from erp to koha.a2.currently we do not know how to do data entry in indian languages.  hence there is no tutorial on this.rgds,nancy head - content"
118,,,,$ is used to declare a variable in php.every variable declaration must start with a $ symbol.
119,,,,
120,,,,there is a file called report.tex that comes with this tutorial.  did you download it and practise using it?
121,,,,in older version of php u should get error like this u need to use mysqli instead of mysql or use pdo object 
122,,,,"hi,kindly go through the link:http://www.spoken-tutorial.org/sites/default/files/st_videos/c-and-c++/c-and-c++_installation_sheet_english.pdf"
123,,,,"the paths given to esim possibly contains space characters in between them. when you launch esim, an option window appears asking you to select a folder or path for esim-workspace.  choose one such folder or path which does not have spaces in them.when creating a new project, please select a folder which will not have a space character in it.and secondly, when opening a schematic, please store it in a folder/path, which does not have any spaces in them."
124,,,,"// assignment1//#include<stdio.h>int main() {   printf(""welcome to the world to c"") ;   return 0;}/*output    welcome to the world to c */ans: if \n is not present in printf statment cursor will be blink on the line"
125,,,,"thank you sir, it worked."
126,,,,any python code or library that can be installed independently and imported into another codebase is called a python module
127,,,,"yes it is possible in koha, to do the same you need to set parameters under circulation and fine rules by using ""koha administration module"" under sub category ""patrons and circulation""."
128,,,,"when using a data frame function na.rm in r, it refers to the logical parameter that tells the function whether or not to remove na values from the calculation. it means na remove. when na.rm is true, the function skips over any na values. however, when na.rm is false, then it returns na from the calculation being done on the entire row or column. for more details, you might want to refer to https://www.programmingr.com/tutorial/na-rm/"
129,,,,by uploading contents / videos on moodle data base 
130,,,,reply plz
131,,,,i have another issue it is showing path is not specified for it.can you please send me steps for doing it .i am not able to run it from command also.
132,,,,"yes. you can use assembly language in arduino.for compiling the code written in assembly, you need to have avr-gcc."
133,,,,please refer to the datasheet of the relay that you are replicating and based on that select the footprint.
134,,,,"yes, send us the complete problem statement from the book, and the name of the book you are referring to."
135,,,,the button 'view code' has been removed from scilab 6.1.0 version.
136,,,,thanks you anmolsahoo and aashayt.best regards
137,,,,"//welcome to the world of c//#include<studio.h>int main (){     printf(""welcome to the world of c "");      return 0;}   output: welcome to the world of cans: cursor will blink on that line only then the next statement printed on the same line"
138,,,,"if you save the image in jpeg format, latest version of scilab by default gives the background color as red. if you want the background color to be white, then save the image in png format."
139,,,,ok thanks
140,,,,no it will not
141,,,,"the path of the file that has to be read is wrong. it should appear something like this 'c:\\users\\lavitha\\downloads\\qtp.xls'.so, the command to read file will be: output=readxls('c:\\users\\lavitha\\downloads\\qtp.xls').to find the path of the file on windows, refer this link: http://www.techrepublic.com/blog/windows-and-office/quick-tip-copy-both-the-path-and-the-file-name-to-the-clipboard/"
142,,,,"i could simulate the netlist with one subcircuit, but i don't know if the answer is correct. by the way, why have you not given resistance values to r1-r4? can you share your project files here?"
143,,,,"you have probably not installed miktex properly.also, did you use the file hello.tex that comes with the tutorial?  if not, please use it."
144,,,,"1. double click on material stream.2. new pop up will open on left side of the window.3. locate ""input data"" tab in the window.4. in""input data"" tab there is a separate tab to enter composition named""compound amounts""."
145,,,,"there is a separate button for ""accept changes"" in ""compounds amounts"" tab inside ""input data"". please refer an image: https://drive.google.com/file/d/1qv9zm-qubhqncbqhmhwzwepumbt3ow1v/view?usp=sharing"
146,,,,"hi..after intallation i can see the camstudio icon on start button, but nothing is happening while double clicking on it."
147,,,,"you may use ohms law and kirchoff law together to derive the value of the current limiting resistor. please refer to the following articles on the same- https://www.evilmadscientist.com/2012/resistors-for-leds/- http://www.resistorguide.com/resistor-for-led/in addition, there are many online calculators for doing the same too - https://ledcalculator.net/"
148,,,,kindly reboot apache and try.
149,,,,click on test prediction pattern and see the results on top right corner
150,,,,"check the id field name myfirsttextview. it is case sensitive.type myfirsttextview.the ide will show all the attributes of the textview. select text.for any build errors, close the project and open it again. then run the program."
151,,,,thanks.. will the students face any difficulty doing the course and following the videos if they are practicing it on windows rather than ubuntu?
152,,,,use the function triu
153,,,,"please watch the tutorial ""courses in moodle""https://spoken-tutorial.org/watch/moodle+learning+management+system/courses+in+moodle/english/"
154,,,,"digitalwrite command sets the pin to high or low state as i told.the reason we used analogwrite command, because we are taking the motorvalue from potentiometer which is connected to analog pin. since, analog pins does not give complete high or complete low values, after using analogwrite command, we used digitalwrite command with same parameters."
155,,,,you can install koha on debian/ubuntu. if you are comfortable with debain you can use  debain. the spoken tutorial is available only for ubuntu.
156,,,,
157,,,,hiican you explain what error actually occurs or if you right click and run as administration. 
158,,,,"for installing r, please visit https://cloud.r-project.org/for installing rstudio, please visit https://rstudio.com/products/rstudio/download/"
159,,,,"it may or may not be a netlist issue. the kicadtongspice python file is getting called in oscad>>forntend>>newproject.py.kicadtongspice python file, when called, somehow gets ""circ.cir"" as the second argument. and when an int() operation is done on it, python complains that it is an invalid input. but how did it get this as the second argument? can you check oscad>>forntend>>newproject.py, for this statement - command=""python ""+self.oscad_home+""/kicadtongspice/kicadtongspice.py ""+self.projectname+"".cir 1"" ?"
160,,,,"well, unfortunately this path may give an error as there is a space character in it. i suggest you install kicad in c:\ and give the path as c:\kicad\bin."
161,,,,select arrhenius option for entering value of a. please refer image: https://drive.google.com/file/d/1uwhhjmcod8g16jrew0zq06njc5h-kzpa/view?usp=sharing
162,,,,"you can check the tutorial ""formatting course material in moodle"" which explains how to use moodle text editor."
163,,,,how to install numpy?
164,,,,"hi mr aashay thanks you, i downloaded the zip file too, but im using the of 2.1 as in the tutorial video, but at this time the error differ from the past one, ill attach you it. note the last line between this  message and the last one.usage: surfacefeatureextract [options] <surface> <output set>options:  -case <dir>       specify alternate case directory, default is the cwd  -closeness <scalar>                    span to look for surface closeness  -deletebox <((x0 y0 z0)(x1 y1 z1))>                    remove edges within specified bounding box  -featureproximity <scalar>                    distance to look for close features  -includedangle <degrees>                    construct feature set from included angle [0..180]  -manifoldedgesonly                    remove any non-manifold (open or more than two connected                    faces) edges  -minelem <int>    remove features with fewer than the specified number of                    edges  -minlen <scalar>  remove features shorter than the specified cumulative length  -nofunctionobjects                    do not execute functionobjects  -set <name>       use existing feature set from file  -subsetbox <((x0 y0 z0)(x1 y1 z1))>                    remove edges outside specified bounding box  -writeobj         write extendedfeatureedgemesh obj files  -writevtk         write extendedfeatureedgemesh vtk files  -srcdoc           display source code in browser  -doc              display application documentation in browser  -help             print the usageextract and write surface features to fileusing: openfoam-2.1 (see www.openfoam.org)build: 2.1-88b2f2ae3a0b--> foam fatal error:wrong number of arguments, expected 2 found 5foam exiting"
165,,,,"thanks a million for the prompt response....however1) stop time less than step time was an unfortunate oversight !!! its 4sec !  made the change still same error.2) username having a special character could be issue, but then other simulation programs with same environment variables are working fine !!3) shall still try to change the directory and try again !!sorry but not able to resolve logically.please  address if possiblethanks indeed for the inputs.regards"
166,,,,pointer is just an address of the data stored in memory.
167,,,,"the files are stored in the moodledata folder that we create at the time of moodle installation.   however, the files are renamed & encrypted. this encrypted name is stored in the database. there is no trivial way to delete the files using any ftp.   moodle faqs mention this:there is no need to do anything, as any unused files are detected and then deleted automatically after a period of time. users cannot delete files manually, since they may be used elsewhere.there is however, no mention on what this period of time is. you may want to read more on https://docs.moodle.org/36/en/repositories_faq"
168,,,,"hi,your case where institute level division is required is better addressed by 'cohart'groups are within a course.  eg) a group of students work on a project.  a group of students work on a lab experiment.grades can be given to a group of students.  there are many other creative ways that you can also use the groups.best wishes.jsp"
169,,,,"you are correct about changing the resistor values and thus limiting the current for reducing the brightness. regarding selecting resistor, refer this previous question - https://forums.spoken-tutorial.org/question/1861/resistor-value-in-the-circuit/"
170,,,,"got answerfile path was too longi have reduced it and got command executedin [47]: %pycat e:\primes.txt2357111317192329313741434753596167717379838997in [48]: primes = loadtxt(""e:\primes.txt"")in [49]: print(primes)[ 2.  3.  5.  7. 11. 13. 17. 19. 23. 29. 31. 37. 41. 43. 47. 53. 59. 61. 67. 71. 73. 79. 83. 89. 97.]"
171,,,,"open the below link & follow the instructions to create sql query report, as you can customize the report as per your requirements.https://koha-community.org/manual/16.11/html/ch11.html"
172,,,,argc and argv are explained in detail in this tutorial itself.  pls watch the tutorial carefully and hear the explanation. you will be able to understand.
173,,,,"please refer to  modelica.fluids.examples.tanks.emptytanksfor creating simulation in fluids,1.you need to instantiate(drag and drop) modelica.fluid.system and other required models.2. double click on each model and write desired values for parameters for all models.3. connect those models and simulate with desired simulation settings.we are not planning to create video on drag and drop libraries shortly. if you face any problem please write it in the forum."
174,,,,"it is definitely possible to upgrade moodle, with existing data.  however, we don't have any tutorial on this activity in our series.pls refer to this webpage for details.https://docs.moodle.org/36/en/upgrading"
175,,,,the apache server might be already running in your machine.please execute the below commands and restart the xampp server. sudo /etc/init.d/mysql stop sudo /etc/init.d/apache2 stop sudo /opt/lampp/lampp restart
176,,,,"combination <- function(a,b){factorial(a)/(factorial(a-b)*factorial(b))}"
177,,,,"#include<stdio.h>void main(){int a,b,diff;clrscr();printf(""enter the value of a and b"");scanf (""%d%d"",&a ,&b);diff=a-b;printf(""diff of a and b is=%d"", diff);getch();} output is as follows a=10b=20diff of a and b is =10"
178,,,,"depending the size of your browser window, admin toolbar is positioned in vertical or horizontal direction. you can simply change it by clicking on (vertical/horizontal orientation) arrow mark icon at the end of the toolbar."
179,,,,"type,x=0:0.1:2*%piy=sin(x)plot(x,y)"
