,question_id,parsed_title,parsed_body_ques,parsed_body_ans,category,tutorial,keyword
40,1379.0,embellishing a plot,maximum and minimum limit of set and get axes?,"get or set the x limits of the current axes.xmin, xmax = xlim()   # return the current xlimxlim( (xmin, xmax) )  # set the xlim to xmin, xmaxxlim( xmin, xmax )    # set the xlim to xmin, xmax<paste>change x-axis limitsimport matplotlib.pyplot as pltw = 4h = 3d = 70plt.figure(figsize=(w, h), dpi=d)x = [1, 2, 4, 3, 0]plt.xlim(0, 10)plt.plot(x)plt.savefig(""out.png"")",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
44,1384.0,annotate,what do you mean by annotate?,"annotate: creates an annotation; a piece of text referring to a data point.refer to the example below to understand it better. example:label_x = 1
label_y = 4
arrow_x = 3
arrow_y = 4arrow_properties = dict(
    facecolor=""black"", width=0.5,
    headwidth=4, shrink=0.1)plt.annotate(
""maximum"", xy=(arrow_x, arrow_y),
    xytext=(label_x, label_y),
    arrowprops=arrow_properties)",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
48,1385.0,not able to execute the command,"i tried ececuting this command as it is plot(x,-x*x+4*x-5,'r',linewidth=2)the following is the error i am getting<ipython-input-4-3899d2773deb> in <module>----> 1 plot(x,-x*x+4*x-5,'r',linewidth=2)typeerror: bad operand type for unary -: 'tuple'",please check the value of x and then try again.,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
52,1387.0,embellishing plot," plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","plot(x, sin(x), 'b--',linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
56,1388.0,embellishing plot," plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","plot(x, sin(x), 'b--', linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
60,1388.0,embellishing plot," plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","an eol ( end of line ) error indicates that the python interpreter expected a particular character or set of characters to have occurred in a specific line of code, but that those characters were not found before the end of the line . this results in python stopping the program execution and throwing a syntax error .the syntaxerror: eol while scanning string literal error in python occurs when while scanning a string of a program the python hit the end of the line due to the following reasons:missing quotesstrings spanning multiple linesstrings can't normally span multiple lines. if you don't want the string to appear on multiple lines but you want to initialize it on multiple lines (so you can read it more easily), you can ""escape"" the newline by putting a backslash before the newline. if you want it to appear on multiple lines, you can use triple quotes around the string.http://net-informations.com/python/err/eol.htm",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
64,1393.0,problem in ploting curve,i am using title function and the result is coming only in text not in curve graph,title() is used to set the title of the entire plot and not just the graph. ,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
68,1393.0,problem in ploting curve,i am using title function and the result is coming only in text not in curve graph,ok sir,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
72,1398.0,embellishing plot,"in [68]: title(""parabolic function -x^2+4x-5"")out[68]: text(0.5, 1, 'parabolic function -x^2+4x-5')","please specify your query clearly. there seems to be no error in your statement, in case you check your plot the title should have showed up.in case you are facing an issue, please specify it here along with any errors that you think you faced",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
76,1404.0,alignment of text in ylabel command,what is the use of this **kwargs parameter i.e .text properties ,**kwargs are used for passing keyworded variable length of arguments to a function. ,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
80,1407.0,annotate command not working,"why this command is not working annotate(""local maxima"" xy=(2,-1))?","please ensure that you add the comma as below;annotate(""local maxima"", xy=(2,-1))",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
84,1412.0,pls help to plot pi,i am not able to create -2pi to 2pi graph? anybody can help me pls?,in the linspace command type -2*pi and 2*pi. you are missing * in the syntax.,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
88,1420.0,embellishing a plot,why on my latop %pylab command is not running,please specify the complete error includein the traceback here.,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
92,1422.0,latex  styling,what is the  requirement for including 'r' before the title in latex styling? ,"it is optional, it used to indicated the raw string.",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
96,1432.0,remove the limits,"we have used xlim(-4,5) command to limit the x axis and same way for y coordinate. how can we remove the defined limit from the plot?","use clf() to clear plot, after this command your default limit will be there",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
100,1435.0,why the value of ylabel coming as 42.7 ?,,"thank for including the screenshot, how ever it does not seem to be rendering here, please use the imgur.com website to upload your image and paste the link here",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
104,1444.0,title command,how to give the title to the current graph,using title functonplt.title('my title'),Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
108,1467.0,plot(),"after using plot(x,y), if i give title(""graph""), a blank graph is created. how to merge the title, xlabel, ylabel with already created graph?",please try to run all these commands one after other. it seems you must have cleared or opened different plot.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
112,2029.0,usage of  of line type and colour,"when i type plot(x,sin(x),'r--',linewidth=3) it is showing an error thatillegal format string ""r - -"";","the plot command is proper. may be you have put spaces in the format string ""r - -"" as your error message shows.remove spaces 'r--' and try.let us know.",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
116,2033.0,usage of  of line type,"plot(x,sin(x),'r--',linewidth=3)in the above format we use '--' as line style.what should i do if i want to plot it using dots ' . ' or plus sign '+'.if i palce dot or plus in place of - it is dispalying an error","use plot(x,sin(x),'r+',linewidth=3) and plot(x,sin(x),'ro',linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
120,2151.0,"plot(x,sin(x),'r','.') command nt showing dotted line",dotted line in graph not reflected ,"try this exampleplot(x, sin(x), color='red', linewidth=1, linestyle=':')",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
124,2151.0,"plot(x,sin(x),'r','.') command nt showing dotted line",dotted line in graph not reflected ,"try this plot(x,sin(x),'.r') ",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
128,2448.0,xlable,"after typing xlable() and ylable() command, a name error displayed:nameerror: name 'xlabel' is not defied",can you please post the entire code you tried executing? the information you gave is insufficient for me to understand what exactly the issue is.thanks.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
132,2530.0,regarding linewidth,what is the maximum linewidth we can enter in python??,"i tried increasing the linewidth to 1000, which filled the entire plot area hiding everything under it. you won't be able to analyze any plot with the max-width. from matplotlib import pyplot as pltimport numpy as npxa = np.linspace(0, 5, 20)ya = xa**2plt.plot(xa, ya, color='lightcoral', linewidth=4, linestyle=':')ya = 3*xaplt.plot(xa, ya, color='#4b0082', linewidth=1000,         linestyle=(0, (5, 2, 1, 2)), dash_capstyle='round')plt.show()",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
136,2949.0,plot line style,"in following command plot(x,sin(x),'2r')what  2 signifies ?",2 represents the linewidth of the graph line,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
140,2950.0,plot axis," a=linspace(3,-3,100)    b=sin(a)plot(b,'r')plots a graph considering data of ""b"" for y axis, what is the default x axis data or value it consider ?","by default, a range of values is generated for the x-axis, based on the number of points generated by linspace.for e.g a=linspace(3,-3,100) will generate 100 points between 3 and -3. so the x-axis points are considered from 0-100.if a=linspace(3,-3, 50) is considered then the x-axis points are considered from 0-50.for more information on how the plot command works, you can try the plot? inside the ipython terminal.",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
144,2969.0,assignment solution doubt: ylabel text alignment,"in the solution to the question number 2, the answer is given as no.but it is possible to modify the alignment of the given label using **kargs of text. that means:ylabel(""y"", horizontalalignment='left', verticalalignment='top')would modify the text alignment of the y label.then why the answer to the solution is given as no?",it is possible that these features were added in the later version of matplotlib after the video was created.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
148,3133.0,facing error for x lable,"facing error for x lable command while y label command work properly, kindly guide me if i doing any mistake in syntax.","please paste your x label command here, so that we can understand what is going wrong. any screenshots or error tracebacks would be helpful.",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
152,3156.0,how to use this python and in  which fild i will use ?,i see this tutorial but i am not understand that it's use ? can i draw any type of mathematical model with the help of this plot ?,"in general a plot is a representation of a mathematical function, hence any function can be in some way represented by a graph or a plot.kindly narrow down your question, in order to let us answer it better.",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
156,2.0,openfoam fatal error: face 7 in patch 0 does not have neighbour cell face: 4(19 20 24 23)),"hello everyone...i am very new to of and trying to mesh a cylinder for hagen-poiseuille flow. i am getting error like:foam fatal error:face 7 in patch 0 does not have neighbour cell face: 4(19 20 24 23)from function polymesh::facepatchfacecells(const facelist& patchfaces,const labellistlist& pointcells,const facelistlist& cellsfaceshapes,const label patchid)in file meshes/polymesh/polymeshfromshapemesh.c at line 127.actually i tried to correct the order of points and still i got the same error..also, when i tried with ""parafoam -block"", paraview opened and closed before showing anything.how to rectify this..blockmeshdict is :converttometers 0.1;vertices((0 0 0)(0.15 0.15 0)(-0.15 0.15 0)(-0.15 -0.15 0)(0.15 -0.15 0) //4(0.3 0.3 0)(-0.3 0.3 0)(-0.3 -0.3 0)(0.3 -0.3 0)//8(0.35 0.35 0)(-0.35 0.35 0)(-0.35 -0.35 0)(0.35 -0.35 0)//12(0.15 0.15 30)(-0.15 0.15 30)(-0.15 -0.15 30)(0.15 -0.15 30)(0.3 0.3 30)//17(-0.3 0.3 30)(-0.3 -0.3 30)(0.3 -0.3 30)(0.35 0.35 30) //21(-0.35 0.35 30)(-0.35 -0.35 30)(0.35 -0.35 30)(0 0 30) //25);blocks(hex (1 2 3 4 13 14 15 16) (10 10 150) simplegrading (1 1 1)hex (1 5 6 2 13 17 18 14) (10 10 150) simplegrading (1 1 1)hex (2 6 7 3 14 18 19 15) (10 10 150) simplegrading (1 1 1)hex (3 7 8 4 15 19 20 16) (10 10 150) simplegrading (1 1 1)hex (4 8 5 1 16 20 17 13) (10 10 150) simplegrading (1 1 1)hex (5 9 10 6 17 21 22 18) (10 10 150) simplegrading (1 1 1)hex (6 10 11 7 18 22 23 19) (10 10 150) simplegrading (1 1 1)hex (12 9 5 8 24 21 17 20) (10 10 150) simplegrading (1 1 1));edges(arc 5 6 (0 0.42426 0) // back facearc 6 7 (-0.42426 0 0)arc 7 8 (0 -0.42426 0)arc 8 5 (0.42426 0 0)arc 9 10 (0 0.5 0)arc 10 11 (-0.5 0 0)arc 11 12 (0 -0.5 0)arc 12 9 (0.5 0 0)arc 17 18 (0 0.42426 30) // front facearc 18 19 (-0.42426 0 30)arc 19 20 (0 -0.42426 30)arc 20 17 (0.42426 0 30)arc 21 22 (0 0.5 30)arc 22 23 (-0.5 0 30)arc 23 24 (0 -0.5 30)arc 24 21 (0.5 0 30));boundary(inlettype inlet;faces((13 16 15 14)(13 14 18 17)(14 15 19 18)(15 16 20 19)(16 13 17 20)(17 18 22 21)(18 19 23 22)(19 20 24 23)(20 17 21 24));outlettype outlet;faces((1 5 6 2)(2 6 7 3)(3 7 8 4)(4 8 5 1)(1 2 3 4)(5 9 10 6)(6 10 11 7)(7 11 12 8)(8 12 9 5));fixedwallstype wall;faces((21 22 10 19)(22 23 11 10)(23 24 12 11)(24 21 9 12)););mergepatchpairs();","hi,i think there is some problem in numbering of the vertices while you generated the blockmeshdict file. this problem is either where you specify the boundary face or when you specify the blocks. please check the file properly with a diagram of the pipe along with the vertices and i am sure you will find the mistake.",OpenFOAM,Simulating-Hagen-Poiseuille-flow,"Video tutorial,CFD,  OpenFOAM, Creating and meshing 3D cylindrical pipe, Simulating Hagen Poiseuille,  Visualizing the velocity contour in ParaView."
157,2.0,openfoam fatal error: face 7 in patch 0 does not have neighbour cell face: 4(19 20 24 23)),"hello everyone...i am very new to of and trying to mesh a cylinder for hagen-poiseuille flow. i am getting error like:foam fatal error:face 7 in patch 0 does not have neighbour cell face: 4(19 20 24 23)from function polymesh::facepatchfacecells(const facelist& patchfaces,const labellistlist& pointcells,const facelistlist& cellsfaceshapes,const label patchid)in file meshes/polymesh/polymeshfromshapemesh.c at line 127.actually i tried to correct the order of points and still i got the same error..also, when i tried with ""parafoam -block"", paraview opened and closed before showing anything.how to rectify this..blockmeshdict is :converttometers 0.1;vertices((0 0 0)(0.15 0.15 0)(-0.15 0.15 0)(-0.15 -0.15 0)(0.15 -0.15 0) //4(0.3 0.3 0)(-0.3 0.3 0)(-0.3 -0.3 0)(0.3 -0.3 0)//8(0.35 0.35 0)(-0.35 0.35 0)(-0.35 -0.35 0)(0.35 -0.35 0)//12(0.15 0.15 30)(-0.15 0.15 30)(-0.15 -0.15 30)(0.15 -0.15 30)(0.3 0.3 30)//17(-0.3 0.3 30)(-0.3 -0.3 30)(0.3 -0.3 30)(0.35 0.35 30) //21(-0.35 0.35 30)(-0.35 -0.35 30)(0.35 -0.35 30)(0 0 30) //25);blocks(hex (1 2 3 4 13 14 15 16) (10 10 150) simplegrading (1 1 1)hex (1 5 6 2 13 17 18 14) (10 10 150) simplegrading (1 1 1)hex (2 6 7 3 14 18 19 15) (10 10 150) simplegrading (1 1 1)hex (3 7 8 4 15 19 20 16) (10 10 150) simplegrading (1 1 1)hex (4 8 5 1 16 20 17 13) (10 10 150) simplegrading (1 1 1)hex (5 9 10 6 17 21 22 18) (10 10 150) simplegrading (1 1 1)hex (6 10 11 7 18 22 23 19) (10 10 150) simplegrading (1 1 1)hex (12 9 5 8 24 21 17 20) (10 10 150) simplegrading (1 1 1));edges(arc 5 6 (0 0.42426 0) // back facearc 6 7 (-0.42426 0 0)arc 7 8 (0 -0.42426 0)arc 8 5 (0.42426 0 0)arc 9 10 (0 0.5 0)arc 10 11 (-0.5 0 0)arc 11 12 (0 -0.5 0)arc 12 9 (0.5 0 0)arc 17 18 (0 0.42426 30) // front facearc 18 19 (-0.42426 0 30)arc 19 20 (0 -0.42426 30)arc 20 17 (0.42426 0 30)arc 21 22 (0 0.5 30)arc 22 23 (-0.5 0 30)arc 23 24 (0 -0.5 30)arc 24 21 (0.5 0 30));boundary(inlettype inlet;faces((13 16 15 14)(13 14 18 17)(14 15 19 18)(15 16 20 19)(16 13 17 20)(17 18 22 21)(18 19 23 22)(19 20 24 23)(20 17 21 24));outlettype outlet;faces((1 5 6 2)(2 6 7 3)(3 7 8 4)(4 8 5 1)(1 2 3 4)(5 9 10 6)(6 10 11 7)(7 11 12 8)(8 12 9 5));fixedwallstype wall;faces((21 22 10 19)(22 23 11 10)(23 24 12 11)(24 21 9 12)););mergepatchpairs();","hello alli had problem high courant number, using the files downloaded for this case, and i solved it only modificatingdeltat          1e-06; and  the  writeinterval   50000;but if you dont have a good cpu, or dont know how to use multiple servers, you can spendt several days (up to 7)best regardsmanuel fermin fonseca",OpenFOAM,Simulating-Hagen-Poiseuille-flow,"Video tutorial,CFD,  OpenFOAM, Creating and meshing 3D cylindrical pipe, Simulating Hagen Poiseuille,  Visualizing the velocity contour in ParaView."
158,496.0,problem with the simulation,"hello allthis is not a question is an advice if you will have problem with you simulationi had problem, the simulation didnt work correctly because there was a high courant number, using the files downloaded for this case, and i solved it only modificatingdeltat 1e-06; and the writeinterval 50000;but if you dont have a good cpu, or dont know how to use multiple servers, you can spendt several days (up to 7)hope you serve itbest regardsmanuel fermin fonseca","hi,since it is 3d problem the iterations will be slow. also the icofoam is a transient solver, it will keep on running. i advice you to monitor the residuals and stop the iterations when it is reached the desired value.regards,sathish",OpenFOAM,Simulating-Hagen-Poiseuille-flow,"Video tutorial,CFD,  OpenFOAM, Creating and meshing 3D cylindrical pipe, Simulating Hagen Poiseuille,  Visualizing the velocity contour in ParaView."
159,496.0,problem with the simulation,"hello allthis is not a question is an advice if you will have problem with you simulationi had problem, the simulation didnt work correctly because there was a high courant number, using the files downloaded for this case, and i solved it only modificatingdeltat 1e-06; and the writeinterval 50000;but if you dont have a good cpu, or dont know how to use multiple servers, you can spendt several days (up to 7)hope you serve itbest regardsmanuel fermin fonseca","hi,thanks you sathishregards,manuel fermin fonseca",OpenFOAM,Simulating-Hagen-Poiseuille-flow,"Video tutorial,CFD,  OpenFOAM, Creating and meshing 3D cylindrical pipe, Simulating Hagen Poiseuille,  Visualizing the velocity contour in ParaView."
160,3.0,programming language for openfoam.,can i do programming on c or c++ for using openfoam or i have to go another programming language?,"hi ashish,openfoam is originally  written in c++, but people have also used "" python "" for writing openfoam codes. you can check out for pyfoam to get more idea. other than this i don't think there is any other language which is used for openfoam codes.",OpenFOAM,General,
161,4.0,about geogebra,which part of geogebra is useful to class 6-10 students?is there any tutorial notes with step by step solved examples for geogebra?,"dear alluri,the entire geogebra tutorial series available on our website is designed for 6th to 10th students.the examples shown are taken from standard textbooks, and are shown step by step in the video. you need to have the instruction sheet for details on how to use the tutorial. the instruction sheet, additional questions are available when you search for a particular foss and language. you can access the assignments and related material for the individual tutorials below the tutorials. ",Geogebra,General,
162,5.0,php mysql,i got spoken tutorial course containing php packages along with video tutorials and related software.how to install php software packages and use them for my practice. please give step by step procedure,"hi, you can see the step by step installation procedures on the following links...for windows, click herefor linux, click here",PHP-and-MySQL,General,
163,8.0,while installing the software in our lab i am facing some problems i have listed below.,"i tried to install  the openfoam as instructions given in site, when i follow instruction number 15 at the end of process i am getting the followingw: gpg error: http://ppa.launchpad.net oneiric inrelease: file /var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_inrelease doesn't start with a clearsigned messagew: failed to fetch http://ppa.launchpad.net/ubuntu-toolchain-r/test/ubuntu/dists/oneiric/main/i18n/index  no hash entry in release file /var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_main_i18n_indexw: failed to fetch gzip:/var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_main_source_sources  encountered a section with no package: headerw: failed to fetch gzip:/var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_main_binary-i386_packages  encountered a section with no package: headere: some index files failed to download. they have been ignored, or old ones used instead.and after this if i run 16th instruction i am gettingadministrator@ubuntu:~/openfoam$ icofoam -helpicofoam: command not found","hi arunendra,the errors which are shown in the command terminal means that the repository from which you are downloading the packages does seem to have some it. you can try changing the repository and then try : ""sudo apt-get update"" to check . also check with the system admins in your collage in case of some proxy issues while downloading these packages.  if all the packages are downloaded properly i don't think there would be any problem while checking openfoam installation.p.s : open up a new command terminal for running the command icofoam -help.regards,",OpenFOAM,General,
164,8.0,while installing the software in our lab i am facing some problems i have listed below.,"i tried to install  the openfoam as instructions given in site, when i follow instruction number 15 at the end of process i am getting the followingw: gpg error: http://ppa.launchpad.net oneiric inrelease: file /var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_inrelease doesn't start with a clearsigned messagew: failed to fetch http://ppa.launchpad.net/ubuntu-toolchain-r/test/ubuntu/dists/oneiric/main/i18n/index  no hash entry in release file /var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_main_i18n_indexw: failed to fetch gzip:/var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_main_source_sources  encountered a section with no package: headerw: failed to fetch gzip:/var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_main_binary-i386_packages  encountered a section with no package: headere: some index files failed to download. they have been ignored, or old ones used instead.and after this if i run 16th instruction i am gettingadministrator@ubuntu:~/openfoam$ icofoam -helpicofoam: command not found","another point, you can run the command  "" icofoam -help "" directly on the command terminal. there is no need to go inside openfoam folder .",OpenFOAM,General,
165,8.0,while installing the software in our lab i am facing some problems i have listed below.,"i tried to install  the openfoam as instructions given in site, when i follow instruction number 15 at the end of process i am getting the followingw: gpg error: http://ppa.launchpad.net oneiric inrelease: file /var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_inrelease doesn't start with a clearsigned messagew: failed to fetch http://ppa.launchpad.net/ubuntu-toolchain-r/test/ubuntu/dists/oneiric/main/i18n/index  no hash entry in release file /var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_main_i18n_indexw: failed to fetch gzip:/var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_main_source_sources  encountered a section with no package: headerw: failed to fetch gzip:/var/lib/apt/lists/partial/ppa.launchpad.net_ubuntu-toolchain-r_test_ubuntu_dists_oneiric_main_binary-i386_packages  encountered a section with no package: headere: some index files failed to download. they have been ignored, or old ones used instead.and after this if i run 16th instruction i am gettingadministrator@ubuntu:~/openfoam$ icofoam -helpicofoam: command not found","i did the same thing but still, it is not istalling",OpenFOAM,General,
