,question_id,parsed_title,parsed_body_ques,parsed_body_ans,category,tutorial,keyword
120,2151.0,"plot(x,sin(x),'r','.') command nt showing dotted line",dotted line in graph not reflected ,"try this exampleplot(x, sin(x), color='red', linewidth=1, linestyle=':')",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
124,2151.0,"plot(x,sin(x),'r','.') command nt showing dotted line",dotted line in graph not reflected ,"try this plot(x,sin(x),'.r') ",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
128,2448.0,xlable,"after typing xlable() and ylable() command, a name error displayed:nameerror: name 'xlabel' is not defied",can you please post the entire code you tried executing? the information you gave is insufficient for me to understand what exactly the issue is.thanks.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
132,2530.0,regarding linewidth,what is the maximum linewidth we can enter in python??,"i tried increasing the linewidth to 1000, which filled the entire plot area hiding everything under it. you won't be able to analyze any plot with the max-width. from matplotlib import pyplot as pltimport numpy as npxa = np.linspace(0, 5, 20)ya = xa**2plt.plot(xa, ya, color='lightcoral', linewidth=4, linestyle=':')ya = 3*xaplt.plot(xa, ya, color='#4b0082', linewidth=1000,         linestyle=(0, (5, 2, 1, 2)), dash_capstyle='round')plt.show()",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
136,2949.0,plot line style,"in following command plot(x,sin(x),'2r')what  2 signifies ?",2 represents the linewidth of the graph line,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
144,2969.0,assignment solution doubt: ylabel text alignment,"in the solution to the question number 2, the answer is given as no.but it is possible to modify the alignment of the given label using **kargs of text. that means:ylabel(""y"", horizontalalignment='left', verticalalignment='top')would modify the text alignment of the y label.then why the answer to the solution is given as no?",it is possible that these features were added in the later version of matplotlib after the video was created.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
148,3133.0,facing error for x lable,"facing error for x lable command while y label command work properly, kindly guide me if i doing any mistake in syntax.","please paste your x label command here, so that we can understand what is going wrong. any screenshots or error tracebacks would be helpful.",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
152,3156.0,how to use this python and in  which fild i will use ?,i see this tutorial but i am not understand that it's use ? can i draw any type of mathematical model with the help of this plot ?,"in general a plot is a representation of a mathematical function, hence any function can be in some way represented by a graph or a plot.kindly narrow down your question, in order to let us answer it better.",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
371,734.0,i would really like to know as to how i am supposed to be applying for this course.,i would really like to know as to how i am supposed to be applying for this course.,dear amithyou can get in touch with respective state manager and clear your doubt. click on link provided below to view the contact details. http://process.spoken-tutorial.org/index.php/software-training#contacts_for_training,Python-3.4.3,General,
497,1311.0,problem in running %pylab,i was facing problem in running %pylab in python. but now the problem is resolved when i run the command in ipython.,great.please let us know if you face any further issues.,Python-3.4.3,General,
498,1311.0,problem in running %pylab,i was facing problem in running %pylab in python. but now the problem is resolved when i run the command in ipython.,even my %pylab command is not running.it is prompting..invalid syntax,Python-3.4.3,General,
499,1337.0,getting importerror: dll load failed during python 3.6.8 installation in windows 8 64 bit,getting importerror: dll load failed during python 3.6.8 installation in windows 8 64 bit.,installing the visual c++ redistributable for visual studio 2015 from the link given below may solve the problem.,Python-3.4.3,General,
500,1337.0,getting importerror: dll load failed during python 3.6.8 installation in windows 8 64 bit,getting importerror: dll load failed during python 3.6.8 installation in windows 8 64 bit.,https://www.microsoft.com/en-us/download/details.aspx?id=48145,Python-3.4.3,General,
501,1338.0,rc id 1488 getting error during python 3.6.8 installation in windows 8 64 bit the error is importerror: dll load failed,"getting error during python 3.6.8 installation in windows 8 64 bit the error isimporterror: dll load failedstep 1. i have installed python 3.6.8 (installer x86-64 executable installer for 64 bit osstep 2. python is installed correctlystep 3. installation of numpy, matplotlib and ipython have been donestep 4. while checking numpy, matplotlib and ipython have correctly installed or notonly the command ipython3 is runningsuccessfully. (getting the output resembling to the output given in the installation instructioins).getting error in the command import numpy, matplotlib (the error isimporterror: dll load failed)please click on the below link to see the screenshot of error:https://drive.google.com/open?id=10zzhwsuyg6by29gmjkqvrkyai6tkegh2_ppwtqam2mu",https://forums.spoken-tutorial.org/question/1337/getting-importerror-dll-load-failed-during-python-368-installation-in-windows-8-64-bit/,Python-3.4.3,General,
502,1338.0,rc id 1488 getting error during python 3.6.8 installation in windows 8 64 bit the error is importerror: dll load failed,"getting error during python 3.6.8 installation in windows 8 64 bit the error isimporterror: dll load failedstep 1. i have installed python 3.6.8 (installer x86-64 executable installer for 64 bit osstep 2. python is installed correctlystep 3. installation of numpy, matplotlib and ipython have been donestep 4. while checking numpy, matplotlib and ipython have correctly installed or notonly the command ipython3 is runningsuccessfully. (getting the output resembling to the output given in the installation instructioins).getting error in the command import numpy, matplotlib (the error isimporterror: dll load failed)please click on the below link to see the screenshot of error:https://drive.google.com/open?id=10zzhwsuyg6by29gmjkqvrkyai6tkegh2_ppwtqam2mu",,Python-3.4.3,General,
506,1342.0,error in installing python,"sir i have installed python and it version is 3.6.8i am facing dll error in import numpy,matplotlib. so,i installed visual c++. then there is no error in import numpy,matplotlib.but its showing some attribute error in %pylab commandthe error is starting like get_ipython.run_line_magic(""pylab,'')",installing the visual c++ redistributable for visual studio 2015 from the link given below may solve the problem.https://www.microsoft.com/en-us/download/details.aspx?id=48145please let us know if you face any problem.thanks.,Python-3.4.3,General,
507,1342.0,error in installing python,"sir i have installed python and it version is 3.6.8i am facing dll error in import numpy,matplotlib. so,i installed visual c++. then there is no error in import numpy,matplotlib.but its showing some attribute error in %pylab commandthe error is starting like get_ipython.run_line_magic(""pylab,'')","hello, can you also provide the complete (rest of the) traceback so that we can confirm the issue and find the cause of the error.",Python-3.4.3,General,
510,1369.0,today workshop,"good morning sir,i'm,  bhuvaneswari, the optimus public school teacher, bhavani, erode dist, tamilnadu.we school teachers want to know about python with exception handling and python advance programming to explain children in detail.but, here we listen ipython with numby and matplotlib functions.my question is how can we get advance information about our syllabus portions.thankyou.",please see last video it is about exception handling,Python-3.4.3,General,
512,1416.0,python3.4.3,i tried to execute cat primes but it is saying invalid syntax,please make sure that you are using ipython and not the simple python console.please add a screenshot or add the complete error traceback if the error still persists (please use imgur.com or dpaste.com to link to an image or text based error tracebacks respectively),Python-3.4.3,General,
513,1416.0,python3.4.3,i tried to execute cat primes but it is saying invalid syntax,no sir im doing in ipython only but it showing error,Python-3.4.3,General,
516,1416.0,python3.4.3,i tried to execute cat primes but it is saying invalid syntax,python 3.4.38th video loading data from filesit is showing errors,Python-3.4.3,General,
517,1416.0,python3.4.3,i tried to execute cat primes but it is saying invalid syntax,"please use ""!type filename.txt""",Python-3.4.3,General,
519,1434.0,variable,example: x= 10whether memory is allocated for label x or notif not how it's referencing the memory address,in python things work a little differently.in python you need not be concerned with memory locations like you have to in c/c++. the value 10 is a data type and an object that is stored in memory. x is a variable name that acts as a label to refer to the object 10.,Python-3.4.3,General,
522,1459.0,tensorflow-general question,question no.1how can i get tensorflow software library installation along with my python 3.4.3?question no.2which machine learning software library is best suitable for implementing  machine learning applications such as artificial neural networks and genetic algorithms in python 3.4.3?,>> how can i get tensorflow software library installation along with my python 3.4.3?please refer to the documentation available on the official tensorflow website,Python-3.4.3,General,
523,1464.0,software library in python 3.4.3-general question,which machine learning software library is best suitable for implementing machine learning applications such as artificial neural networks and genetic algorithms in python 3.4.3?,you can have a look at the scikit-learn package for machine learning with python,Python-3.4.3,General,
524,1466.0,application of python in mechanical engineering, where actually python is applicable in mechanical engineering. please suggest topics related to mechanical engineering,python can be used for machine learning.it also can be used for coding in the chipset like ardino.hope it is helpful...,Python-3.4.3,General,
526,1481.0,data  type of the python,"what is the use of ""none"" data type?","the none keyword is used to define a null \r\nvalue, or no value at all.\r\nnone is not the same as 0, false, or an empty string. none is a datatype of \r\nits own (nonetype) and only none can be none.refer below linkhttps://www.w3schools.com/python/ref_keyword_none.asp",Python-3.4.3,General,
527,1483.0,general,for class 11 cbse which version of python is to taught for windows 10 operating system...,"python 2.7 is at end of life stage ( python 2.7 will no longer maintained after few months) and many python libraries upgraded to support python 3.x version.hence, it is suggested to move newer version.",Python-3.4.3,General,
528,1484.0,general,for class 11 cbse which version of python is to taught for windows 10 operating system...,"python 3.6 and above is the latest version of python being recommended for usage, kindly confirm the version being used in the curriculum from your respective schools.",Python-3.4.3,General,
529,1499.0,about programming languages,"dear sir/ma'am,its easy to work on rad tools such as java netbeans and sql as a backend.what makes python interesting to wok on?. its always preferred to work on an ide environment than an interactive command based mode.","python is a general-purpose language, which means it can be used to build just about anything, which will be made easy with the right tools/libraries. professionally, python is great for backend web development, data analysis, artificial intelligence, and scientific computing.",Python-3.4.3,General,
530,1502.0,python working,python works fast on windows or linux?,it works same in any operating systems.,Python-3.4.3,General,
531,1502.0,python working,python works fast on windows or linux?,it works same in any operating system.,Python-3.4.3,General,
532,1504.0,what is the use of python in library,what is the use of python in library,"python is a general-purpose language, which means it can be used to build just about anything, which will be made easy with the right tools/libraries. professionally, python is great for backend web development, data analysis, artificial intelligence, and scientific computing.similarly python can be used to create a tool to assist libraries",Python-3.4.3,General,
533,1510.0,cbse curriculum,"it is required to teach all the topics in cbse curriculum ,which have covered under this workshop.there is any workshop or training are you providing for cbse school so that the teacher should be competent although he/she is always busy in teaching. ","please contact the spoken tutorial team, for contact info please see here https://process.spoken-tutorial.org/index.php/software-training#contacts_for_training",Python-3.4.3,General,
535,1521.0,connectivity of python with mysql,i am trying to connect mysql with python. i downloaded mysql connector by using pip command and also by using conda install through anaconda navigator. but when i run the code it shown ''mysql module does not exists. i am using mysql server 5.2,"in case you are using ubuntu, along with the mysql connector you also need to install the python-devel packages systemwide.please also ensure that you are running your code in the same environment as the one in which you have installed the mysql connector",Python-3.4.3,General,
583,1761.0,wrong questions in exam,"question in the exam ""python3.4.3"" conducted on 24th sept 2019 consisted of 6 questions with the syntax compatible for python2 whereas the exam name itself says for version 3. i got 5 questions wrongly reviewed in the exam. the question no. are 2,7,8,12,14,15. i've the screen shots but ain't able to upload them on this site.","please contact spoken tutorial to clarify your queries, please see here https://process.spoken-tutorial.org/index.php/software-training#contacts_for_training",Python-3.4.3,General,
648,2000.0,certificate & exam,"i have joined this course through swayam app, how will i be able to get the certificate of the course. please give me the details of the certification and examination.","delighted to know that you are interested in knowing about a
      possible 
      test and a certificate in the spoken tutorial courses.

      our tests are offered ""only through colleges"" at a nominal cost. 
      we suggest 
      that you study using our course material during the covid-19 lock
      down.  
      our tutorials are created for self learning.  please use the forum
      to ask your 
      doubts, as explained in a video on the course page.  

      on your return after your college reopens, tests can be arranged
      in your colleges.  
      for more details, please contact your state representative at 
https://process.spoken-tutorial.org/index.php/software-training#contacts_for_training

      - both phone numbers and email addresses are given in this link.",Python-3.4.3,General,
670,2287.0,can i consider this course in an aicte approved fdp course for faculty?,can i consider this course in an aicte approved fdp course for faculty?,it is a general course applicable for everyone. it is not specifically approved by aicte.although this course can be used for faculty and students.,Python-3.4.3,General,
671,2287.0,can i consider this course in an aicte approved fdp course for faculty?,can i consider this course in an aicte approved fdp course for faculty?,"on swayan portal, it has mentioned that python 3.4.3 is an aicte approved fdp course. thank you.",Python-3.4.3,General,
672,2287.0,can i consider this course in an aicte approved fdp course for faculty?,can i consider this course in an aicte approved fdp course for faculty?,"please note that when faculty does this course, it becomes an fdp.  when students do this, they can use it as a mooc.  the course has to be followed by a proctored test in participating colleges for a certificate.  if you want to know more about the test, certificate, etc., please get in touch with your state coordinator, whose contact details are available here: https://process.spoken-tutorial.org/index.php/software-training#contacts_for_training.",Python-3.4.3,General,
677,2388.0,getting started with sage to teach,"dear allwhen i type in windows 10,@interactdef plot_damped(n=2)    t=var('t')    p1=plot(e^(-t)*sin(2*t),(t,0,15))    show(p1) file ""<ipython-input-28-5f9e3af9e434>"", line 2    def plot_damped((ellipsis_iter(n=integer(1) ,ellipsis, integer(10)))):                    ^syntaxerror: invalid syntaxkindly help",it is difficult to understand your question.,Python-3.4.3,General,
681,2435.0,about certificate of registered course,"sir,i just want to know the procedure for attempting exam and certificate for particular course.what about course completion certificate and assignment completion.not seen the option for certificate.what to do?as i have registered for receiving certificate for fdp",please contact the spoken tutorial team for such queries. the contact details are available on the website.,Python-3.4.3,General,
688,2501.0,retest,"respected sir/madam,i was not able to clear the exam conducted on 22 april 2020 by vivekananda college for python. ho will i attempt the retest for it.","please contact the spoken tutorial training team, the contact details are available on the website",Python-3.4.3,General,
689,2504.0,retest,"respected sir/madam,i was not able to attend the exam conducted on 22 april 2020 by vivekananda college for python. how can i take the retest for it?","please contact the spoken tutorial team on their contact email address, contacts are available on the website",Python-3.4.3,General,
691,2529.0,course certificate,"hi team,i am currently working in an mnc and have enrolled to this course for my own career development. please let me know, after completion of all the videos, will i be getting the certificate or there is anything else that needs to be done for the same.this course and the certificate is truly a valuable one and i would definitely need to uplift my career.awaiting a favorable response.thanks,arijit","thanks arijit, for your interest.  at present we offer only proctored tests, and that too through colleges only.you very well know that unproctored certificates don't have that much value.will your mnc be interested in hosting our online tests for all interested employees in its organisation?",Python-3.4.3,General,
693,2545.0,operating system used for python. which one is easy either windows or linux?,windows based and linux based python are different? which one we should prefer because instruction are different as per operating system.its difficult to remember for both. what is the solution ?,python is platform-independent. that means it works similarly on windows as well as linux operating system. now the commands you are talking about are the system-level commands and they are going to be different on both the operating systems. it is obviously going to be difficult to remember them at the beginning. but if you practice it becomes easy to remember. so choose whichever os you are comfortable with and start practicing.,Python-3.4.3,General,
694,2547.0,unenroll,how can i unenroll from this course. please help me. thank you. ,"please go back to the site/people through which/whom you got enrolled, and look/ask for this information.",Python-3.4.3,General,
697,2556.0,test enroll link error,am unable to get my score certificate just because of error.please resolve my issue.,may i know what error you are getting?,Python-3.4.3,General,
712,2646.0,"fdp, online test, e - certification","when will you conduct online test and fdp?fdp on python programming 18th to 22nd of may..fdp on r programming on 14 to 16th of may, but am not getting any initimations regarding this...will you provide the certificates soon after the completion of the sessions?mode of providing certificates?","delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link.",Python-3.4.3,General,
715,2655.0,python not installed correctly,every time it shows error in numpy and metplotlib installation what i do,"how can anyone help you with this question?  please give more details, as a reply to this.  please do not start a new thread.",Python-3.4.3,General,
716,2655.0,python not installed correctly,every time it shows error in numpy and metplotlib installation what i do,"yes, more details like the steps followed and the errors you get.a screenshot along may also help.",Python-3.4.3,General,
773,3234.0,not able to get offline material,please help sir/madam.i am not able to get offline material but it is written in the instruction sheet. please help,please specify more details on what course you are trying to access.,Python-3.4.3,General,
777,3333.0,could not install ipython,"'ipython' is not recognized as an internal or external, command,","please see the documentation here https://ipython.org/install.htmlplease provide details on what you have tried. what errors you faced, in case of errors please paste the error reports here or in an image and provide link to the imageyou can try using anaconda python environment  https://docs.anaconda.com/anaconda/install/",Python-3.4.3,General,
1593,1330.0,error umber 13,"error 13, permission denied, when run the command savefig('sine.png')",change your directory to desktop and try running savefig cmd again. ,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1597,1330.0,error umber 13,"error 13, permission denied, when run the command savefig('sine.png')",in linux it works(as you've seen in spoken-tutorial) in windows you might have to specify the complete path.,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1601,1330.0,error umber 13,"error 13, permission denied, when run the command savefig('sine.png')",in [14]: savefig('c:/users/administrator/desktop/sine.png')in [15]: savefig('c:/users/administrator/desktop/sine.eps')in [16]: savefig('c:/users/administrator/desktop/sine.pdf')in [17]: savefig('c:/users/administrator/desktop/sine.ps')in [18]: savefig('c:/users/administrator/desktop/sine.svg'),Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1629,1383.0,permission error,permission error error13 is getting while saving plot,please specify a file path and use a file path to a folder that you have permissions on.for example try saving the plot to your desktop and it should work fine,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1633,1383.0,permission error,permission error error13 is getting while saving plot,you might not have the permission to save the file in the directory where you are trying to save. please try switching to some other directory.,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1637,1438.0,saving,how to download this videos....,download links are already provided to the remote centers. in future if you want to download you can go to www.spoken-tutorial.organd check instructions for downloading contentsclick on http://www.spoken-tutorial.org/create_cd_content,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1641,1438.0,saving,how to download this videos....,please go through this link https://process.spoken-tutorial.org/index.php/software-training#downloading_spoken_tutorials,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1645,1442.0,error while saving the plot using savefig() command,"after executing the savefig('sine.png') command, it is showing some error instead of saving in current directory and after specifying the saving location  as instructed later in this video their is an error.","the directory in which you are saving the figure must exist, or else it will throw you an error.savefig(""c:\\\\users\\\\username\\\\desktop\\\\plot.png"")",Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1649,2134.0,savefig() function,it shows permission denied error when i try to save the plot by using the command: savefig('sine.png'),please make sure that you have permissions to save files in the directory that you are saving the file to. you can check which directory the ipython shell is pointing to by using the magic command %pwd ,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1653,2319.0,about downloading the video,dear madam/ sirhow to download the video on saving plots.thank you.regards,you can refer to this document to understand how to download the tutorials: https://process.spoken-tutorial.org/images/1/1b/download-tutorials.pdf,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1657,2344.0,about the change directory,how to change current directory in window os,just type cd <path-to-directory>,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1661,2371.0,how to enter the file name under which to save a figure in python under windows 7,"i am learning python using python version 3.8 installed in my computer running windows 7.  the tutorial at 3m10 seconds states that i should use the function savefig(""c:/users/fossee/desktop/sine.png"") when running python under windows.   would it not be more appropriate to use the command with backslashes instead of forward slashes?    the argument to the function would then read,   savefig(""c:\users\fossee\desktop\sine.png"")?","savefig(""c:\users\fossee\desktop\sine.png"") is correct ",Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1665,2721.0,matplotlib,what is a module?,any python code or library that can be installed independently and imported into another codebase is called a python module,Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
1669,2831.0,savefig,what type of file supported by this function ?,according to the documentation the output formats depend on the type of backend system being used for plotting. common formats like jpeg and png are available usually.see https://matplotlib.org/api/pyplot_api.html#matplotlib.pyplot.savefigyou can check which formats are available using;from matplotlib import pyplotplot.gcf().canvas.get_supported_filetypes(),Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial."
2176,1325.0,"getting error ""nameerror: name 'linspace' is not defined""","getting error ""nameerror: name 'linspace' is not defined""",first run %pylab,Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial."
2180,1325.0,"getting error ""nameerror: name 'linspace' is not defined""","getting error ""nameerror: name 'linspace' is not defined""",still getting the same error,Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial."
2184,1389.0,additional features of phython,in what way python is applicable in mathematics. can it can be using solved advanced differential equations,yes. there are many libraries available in python for writing programs involving math. ,Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial."
2196,1841.0,ipython,what is ipython interpreter,the python interpreter is used to interpret and run python code line by line.,Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial."
2200,1848.0,title of plot,"the command:title(""$x and xsin(x)$"")results in the title as xandxsin(x) without any spaces.how to provide spaces in the title?","this should work as expected, can you try the same title without the $ signs? please paste screenshots, error messages if any to help debugging.",Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial."
2204,2034.0,save python script error,"i am getting an error when i run save command. i am using save plot_script.py 2-4 this is the error save plot_script.py 2-4  file ""<ipython-input-18-fe4f4b8c940f>"", line 1    save plot_script.py 2-4                          ^syntaxerror: invalid syntaxi am using spyder ide and i am a window userkindly resolve my issue",the command to save is %save plot_script.py 2-4 which should be run inside ipython terminal and not the spyder editor. the ipython kernel is generally to the right of the editor,Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial."
2208,2042.0,error,i am getting error for the command %save while saving the history,can you give us more information about the error you are getting?,Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial."
2212,2042.0,error,i am getting error for the command %save while saving the history,"hello, it would be helpful to others if you can send us more details about the error you are facing. usually, sending the text or a screenshot of the error, it's contents and the traceback on the screen helps everyone understand what exactly is going wrong. thanks",Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial."
2216,2115.0,run python script,i saved a portion of my command history as plot_script.py file.how to open the file?while opening it asks for application to open the file.if file is opened as text file then while using run command there is a problem.  %run (<file name>) is executed without any error but when i use show() it does show the plot in figure window. why this is so?,"yes, you can open a .py file using any simple text editor. it should not cause any issues.please confirm that the code in your plot_script.py file is correct and is using a plot command to be able to see a plot after using show(). in case it is possible please use pastebin.com to add your code from plot_script.py and add the link here so that we can tell you the exact issue with your code.",Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial."
