id,tutorial_detail_id,slide,slide_user_id,slide_status,code,code_user_id,code_status,assignment,assignment_user_id,assignment_status,prerequisite_id,prerequisite_user_id,prerequisite_status,keyword,keyword_user_id,keyword_status,created,updated,additional_material,additional_material_status,additional_material_user_id
32,32,Modification-Tools-to-Stretch-and-Mirror-Slides.zip,1479,4,Modification-Tools-to-Stretch-and-Mirror-Codefiles.zip,1479,4,Modification-Tools-to-Stretch-and-Mirror-Assignment.pdf,1479,4,31,1479,4,"QCAD, Scale, Stretch, Mirror, array, rotate, video tutorial",1,4,2014-07-27 13:07:36,2014-07-27 13:15:48,,6,1479
33,33,Modification-Tools-to-Scale-and-Rotate-Slides.zip,1479,4,Modification-Tools-to-Scale-and-Rotate-Codefiles.zip,1479,4,Modification-Tools-to-Scale-and-Rotate-Assignment.pdf,1479,4,32,1479,4,"video tutorial, QCAD, Scale, Stretch, Mirror, array, rotate.",1,4,2014-07-27 13:07:36,2014-07-27 13:15:48,,6,1479
34,34,Redirection-Pipes-Slides.zip,16102,4,Redirection-Pipes-Codefiles.zip,7,4,Redirection-Pipes-Assignment.txt,16102,4,9,4780,4,"Linux, Standard input,standard output, standard error, redirection, pipes, file descriptor , video tutorial",1,4,2014-07-27 13:07:36,2019-07-30 12:14:49,,6,16102
35,35,Working-with-Linux-Process-Slides.zip,16102,4,"",16102,6,Working-with-Linux-Process-Assignment.txt,16102,4,9,1479,4,"Linux, Process, shell process, PID, PPID, spawning, ps, parent, child, subshell, system process, init, video tutorial",7,4,2014-07-27 13:07:37,2020-04-21 12:52:50,,6,16102
36,36,The-Linux-Environment-Slides.zip,1479,4,The-Linux-Environment-Codefiles.zip,7,4,The-Linux-Environment-Assignment.txt,1479,4,35,1479,4,"Linux,  Environment variables, local variables, PATH,HOME, profile, history, alias , video tutorial",7,4,2014-07-27 13:07:37,2020-04-21 12:53:21,,6,1479
37,37,Basics-of-System-Administration-Slides.zip,1479,4,Basics-of-System-Administration-Codefiles.zip,7,4,Basics-of-System-Administration-Assignment.txt,1479,4,14,1479,4,"Linux, su, adduser, usermod, userdel, UID, GID, du, df, Linux, System Admin, Spoken tutorial, Video tutorial",1,4,2014-07-27 13:07:37,2014-12-05 07:01:20,,6,1479
38,38,Inserting-pictures-and-objects-Slides.zip,1479,4,Inserting-pictures-and-objects-Codefiles.zip,7,4,Inserting-pictures-and-objects-Assignment.txt,1,4,228,1479,4,"LibreOffice-Suite-Writer, Insertion of image file, tables and hyperlinks, Video tutorial.",1,4,2014-07-27 13:07:37,2018-05-18 11:32:51,,6,1479
39,39,Viewing-and-printing-a-text-document-Slides.zip,1479,4,Viewing-and-printing-a-text-document-Codefiles.zip,7,4,Viewing-and-printing-a-text-document-Assignment.txt,1,4,38,1479,4,"LibreOffice-Suite-Writer, Viewing documents, printing documents, print window settings, various formats to print, print to file, video tutorial",7,4,2014-07-27 13:07:37,2020-04-21 12:51:19,,6,1479
40,40,Creating-newsletter-Slides.zip,1479,4,Creating-newsletter-Codefiles.zip,7,4,"",1479,6,253,1479,4,"Creating newsletters, 2 column format, multi column format, Operations on newsletters, video tutorial, LibreOffice Writer",7,4,2014-07-27 13:07:37,2020-04-21 12:52:07,,6,1479
41,41,Introduction-to-LibreOffice-Calc-Slides.zip,16102,4,"",16102,6,Introduction-to-LibreOffice-Calc-Assignment.txt,1,4,,1,6,"LibreOffice Suite Calc, introduction to calc, what is calc, spreadsheet, benefits, install Calc, video tutorial",7,4,2014-07-27 13:07:38,2020-04-21 12:44:32,,6,16102
42,42,Working-with-Cells-Slides.zip,1479,4,Working-with-Cells-Codefiles.zip,7,4,Working-with-Cells-Assignment.txt,7,4,41,1479,4,"LibreOffice-Suite-Calc, Format cells dialog box, Date and time, Navigation between cells and  between sheets, Selection of rows,columns and sheets, video tutorial.",1,4,2014-07-27 13:07:38,2018-05-17 07:04:45,,6,1479
43,43,Working-with-Sheets-Slides.zip,1479,4,Working-with-Sheets-Codefiles.zip,7,4,Working-with-Sheets-Assignment.txt,7,4,42,1479,4,"LibreOffice-Suite-Calc, Insertion and deletion of rows, columns and sheets, Renaming of sheets, video tutorial.",1,4,2014-07-27 13:07:38,2018-05-17 07:05:09,,6,1479
44,44,Formatting-Data-Slides.zip,1479,4,Formatting-Data-Codefiles.zip,7,4,Formatting-Data-Assignment.txt,1,4,43,1479,4,"LibreOffice-Suite-Calc, Formatting data, Automatic wrapping, Merging Cells, Shrinking text, video tutorial.",1,4,2014-07-27 13:07:38,2018-05-18 10:31:05,,6,1479
45,45,Basic-Data-Manipulation-Slides.zip,1479,4,Basic-Data-Manipulation-Codefiles.zip,7,4,"",1479,6,44,1479,4,"LibreOffice-Suite-Calc, Basics of Formula, Sorting, Filtering data, video tutorial.",1,4,2014-07-27 13:07:38,2014-07-27 13:15:52,,6,1479
46,46,Working-with-data-Slides.zip,1479,4,Working-with-data-Codefiles.zip,7,4,"",1479,6,45,1479,4,"LibreOffice-Suite-Calc, Fill tools, Selection lists, Sharing contents, Removing, Replacing and changing data, video tutorial.",1,4,2014-07-27 13:07:38,2014-07-27 13:15:52,,6,1479
47,47,Markup-Language-for-writing-formula-Formula-Formatting-Slides.zip,1479,4,"",1479,6,Markup-Language-for-writing-formula-Formula-Formatting-Assignment.txt,7,4,257,1479,4,"LibreOffice-Suite-Math, Mark up language, Formula formatting, Fonts, Alignment and spacing, video tutorial.",1,4,2014-07-27 13:07:38,2018-05-17 06:58:35,,6,1479
48,48,Using-Greek-characters-Brackets-Steps-to-Solve-Quadratic-Equation-Slides.zip,1479,4,Using-Greek-characters-Brackets-Steps-to-Solve-Quadratic-Equation-Codefiles.zip,7,4,Using-Greek-characters-Brackets-Steps-to-Solve-Quadratic-Equation-Assignment.txt,1,4,47,1479,4,"LibreOffice-Suite-Math, Greek characters, alpha, beta, theta, pi, brackets, Steps to solve a quadratic equation, video tutorial.",1,4,2014-07-27 13:07:39,2018-05-18 10:42:57,,6,1479
49,49,Matrices-Aligning-Equations-Slides.zip,1479,4,Matrices-Aligning-Equations-Codefiles.zip,7,4,Matrices-Aligning-Equations-Assignment.txt,1,4,48,1479,4,"LibreOffice-Suite-Math, Matrices, Aligning equations on a particular character, video tutorial.",1,4,2014-07-27 13:07:39,2018-05-18 10:44:02,,6,1479
50,50,Derivatives-Differential-Equations-Integral-Equations-Logarithms-Slides.zip,1479,4,Derivatives-Differential-Equations-Integral-Equations-Logarithms-Codefiles.zip,7,4,Derivatives-Differential-Equations-Integral-Equations-Logarithms-Assignment.txt,1,4,49,1479,4,"LibreOffice-Suite-Math, Dervatives and Differential equations, Integral equations, Formulae with Logarithms, video tutorial.",1,4,2014-07-27 13:07:39,2018-05-18 10:45:03,,6,1479
51,51,Set-Operations-Factorials-Cross-reference-equations-Slides.zip,1479,4,Set-Operations-Factorials-Cross-reference-equations-Codefiles.zip,7,4,Set-Operations-Factorials-Cross-reference-equations-Assignment.txt,7,4,50,1479,4,"LibreOffice-Suite-Math, Set operations, Factorials, Cross Reference equations by numbering, video tutorial.",1,4,2014-07-27 13:07:39,2018-05-17 06:58:57,,6,1479
52,52,Introduction-to-KTurtle-Slides.zip,4917,4,Introduction-to-KTurtle-Codefiles.zip,4917,4,Introduction-to-KTurtle-Assignment.pdf,4917,4,,4917,6,"Kturtle, KTurtle Window, Editor, Canvas, Menu Bar, Toolbar, TurtleScript, Turtle, Full speed(No highlighting and inspector), Full speed, Slow, Slower, Slowest and Step-by-Step, Abort, pause, Video tutorial.",1,4,2014-07-27 13:07:39,2014-09-05 10:22:54,,6,4917
53,53,Grammar-of-TurtleScript-Slides.zip,4917,4,Grammar-of-TurtleScript-Codefiles.zip,4917,4,Grammar-of-TurtleScript-Assignment.pdf,4917,4,52,4917,4,"Kturtle, Grammar of Turtle script, if-else condition, Comments, Commands, Numbers, Strings, Variables, Boolean values, strings and video tutorial. ",1,4,2014-07-27 13:07:39,2014-07-27 13:15:47,,6,4917
54,54,Special-Commands-in-KTurtle-Slides.zip,4917,4,Special-Commands-in-KTurtle-Codefiles.zip,4917,4,Special-Commands-in-KTurtle-Assignment.pdf,4917,4,53,4917,4,"Kturtle, learn, random, clear commands, Video tutorial. ",1,4,2014-07-27 13:07:40,2014-07-27 13:15:47,,6,4917
55,55,Add-Forces-and-Interactions-Slides.zip,1479,4,Add-Forces-and-Interactions-Codefiles.zip,1479,4,Add-Forces-and-Interactions-Assignment.txt,1479,4,61,1479,4,"Step, Adding Forces, Interactions to step, video tutorial.",1,4,2014-07-27 13:07:40,2014-07-27 13:15:51,,6,1479
56,56,Introduction-to-LibreOffice-Impress-Slides.zip,16102,4,"",16102,6,Introduction-to-LibreOffice-Impress-Assignment.txt,7,4,,1479,6,"Introduction to Impress, Toolbars, Creating new presentation, Save and Open a presentation, save as MS Powerpoint, Export as PDF document, video tutorial, LibreOffice Impress",7,4,2014-07-27 13:07:40,2020-04-21 12:45:41,,6,16102
57,57,Creating-a-presentation-document-Slides.zip,16102,4,Creating-a-presentation-document-Codefiles.zip,16102,4,Creating-a-presentation-document-Assignment.txt,7,4,56,1479,4,"LibreOffice-Suite-Impress, Parts of the Impress window, Inserting and Copying slides, Fonts, Formatting of fonts, video tutorial.",1,4,2014-07-27 13:07:41,2018-05-17 06:59:47,,6,16102
58,58,Viewing-a-Presentation-Document-Slides.zip,16102,4,Viewing-a-Presentation-Document-Codefiles.zip,16102,4,Viewing-a-Presentation-Document-Assignment.txt,1,4,57,1479,4,"LibreOffice-Suite-Impress, View options and their uses, Master pages, video tutorial.",1,4,2014-07-27 13:07:41,2018-05-18 10:38:19,,6,16102
59,59,Inserting-Pictures-and-Objects-Slides.zip,1479,4,Inserting-Pictures-and-Objects-Codefiles.zip,7,4,Inserting-Pictures-and-Objects-Assignment.txt,1,4,58,1479,4,"LibreOffice-Suite-Impress, Inserting and formatting pictures and objects,
Hyperlink, Inserting tables, video tutorial",1,4,2014-07-27 13:07:41,2018-05-18 10:39:36,,6,1479
60,60,Printing-a-Presentation-Document-Slides.zip,16102,4,Printing-a-Presentation-Document-Codefiles.zip,16102,4,Printing-a-Presentation-Document-Assignment.txt,7,4,59,1479,4,"LibreOffice-Suite-Impress, Printing a presentation documents, Slides Handouts, Notes and Outline, video tutorial.",1,4,2014-07-27 13:07:41,2018-05-17 07:00:47,,6,16102
61,61,Introduction-to-STEP-Slides.zip,1479,4,Introduction-to-STEP-Codefiles.zip,1479,4,Introduction-to-STEP-Assignment.txt,1479,4,,1479,6,"Introduction to step, video tutorial.",1,4,2014-07-27 13:07:41,2014-09-05 12:37:10,,6,1479
62,62,Echo-Function-Slides.zip,1479,4,Echo-Function-Codefiles.zip,7,4,Echo-Function-Assignment.pdf,1479,0,119,1479,4,"PHP-and-MySQL, Echo functions, Tags, Video tutorial.",1,4,2014-07-27 13:07:42,2018-06-28 06:05:36,,6,1479
63,63,Variables-in-PHP-Slides.zip,1479,4,Variables-in-PHP-Codefiles.zip,7,4,Variables-in-PHP-Assignment.pdf,1479,4,62,1479,4,"PHP-and-MySQL, Variables in PHP, video tutorial.",1,4,2014-07-27 13:07:42,2018-06-28 06:42:28,,6,1479
64,64,If-Statement-Slides.zip,1479,4,If-Statement-Codefiles.zip,7,4,If-Statement-Assignment.pdf,1479,4,63,1479,4,"PHP-and-MySQL, If Statement, video tutorial.",1,4,2014-07-27 13:07:42,2018-06-28 06:24:01,,6,1479
65,65,Switch-Statement-Slides.zip,1479,4,Switch-Statement-Codefiles.zip,7,4,Switch-Statement-Assignment.pdf,1479,4,64,1479,4,"PHP-and-MySQL, Switch statement, video tutorial.",1,4,2014-07-27 13:07:42,2018-06-28 06:37:09,,6,1479
66,66,Arithmatic-Operators-Slides.zip,1479,4,Arithmatic-Operators-Codefiles.zip,7,4,Arithmatic-Operators-Assignment.pdf,1479,4,65,1479,4,"PHP-and-MySQL, Arithmetic operations; plus, minus, multiply and divide operations, video tutorial.",1,4,2014-07-27 13:07:42,2018-06-28 05:53:19,,6,1479
67,67,Comparison-Operators-Slides.zip,1479,4,Comparison-Operators-Codefiles.zip,7,4,Comparison-Operators-Assignment.pdf,1479,4,66,1479,4,"PHP-and-MySQL, Comparisons Operators, Equals to , Greater than, Grater than or equal to, Not equal to,  video tutorial.",1,4,2014-07-27 13:07:43,2018-06-28 05:57:33,,6,1479
68,68,Logical-Operators-Slides.zip,1479,4,Logical-Operators-Codefiles.zip,7,4,Logical-Operators-Assignment.pdf,1479,4,67,1479,4,"PHP-and-MySQL, Logical operators, AND or  OR  Operators, video tutorial.",1,4,2014-07-27 13:07:43,2018-06-28 06:23:49,,6,1479
69,69,Arrays-Slides.zip,1479,4,Arrays-Codefiles.zip,7,4,Arrays-Assignment.pdf,1479,4,68,1479,4,"PHP-and-MySQL, Arrays, Video tutorial.",1,4,2014-07-27 13:07:43,2018-06-28 05:53:34,,6,1479
70,70,Multi-Dimensional-Arrays-Slides.zip,1479,4,Multi-Dimensional-Arrays-Codefiles.zip,7,4,Multi-Dimensional-Arrays-Assignment.pdf,1479,4,69,1479,4,"PHP-and-MySQL, Multidimensional Array, video tutorial.",1,4,2014-07-27 13:07:43,2018-06-28 06:32:14,,6,1479
71,71,Introduction-Slides.zip,1479,4,"",1479,6,"",1479,6,,1479,6,"Mozilla firefox, Versions, System requirements, download and install firefox, visit a website, video tutorial",1,4,2014-07-27 13:07:43,2014-09-05 09:43:05,,6,1479
72,72,Loops-While-Statement-Slides.zip,1479,4,Loops-While-Statement-Codefiles.zip,7,4,Loops-While-Statement-Assignment.pdf,1479,4,70,1479,4,"PHP-and-MySQL, Do while loop, video tutorial.",1,4,2014-07-27 13:07:43,2018-06-28 06:43:11,,6,1479
73,73,Firefox-interface-and-toolbars-Slides.zip,1479,4,"",1479,6,Firefox-interface-and-toolbars-Assignment.txt,1,4,71,1479,4,"Firefox, Firefox interface, toolbars, video tutorial",1,4,2014-07-27 13:07:43,2018-05-18 09:53:55,,6,1479
74,74,Loops-Do-While-Statement-Slides.zip,1479,4,Loops-Do-While-Statement-Codefiles.zip,7,4,Loops-Do-While-Statement-Assignment.pdf,1479,4,72,1479,4,"PHP-and-MySQL, Do while loop, video tutorial.",1,4,2014-07-27 13:07:43,2018-06-28 06:04:55,,6,1479
75,75,Loops-For-Statement-Slides.zip,1479,4,Loops-For-Statement-Codefiles.zip,7,4,Loops-For-Statement-Assignment.pdf,1479,4,74,1479,4,"PHP-and-MySQL, For Loop,  video tutorial.",1,4,2014-07-27 13:07:44,2018-06-28 06:16:53,,6,1479
76,76,Searching-and-Auto-complete-Slides.zip,1479,4,"",1479,6,Searching-and-Auto-complete-Assignment.txt,1,4,73,1479,4,"Firefox, Using Search, Search engines, find bar, auto completing in the address bar, video tutorial.",1,4,2014-07-27 13:07:44,2018-05-18 09:52:42,,6,1479
77,77,Tabbed-Browsing-Blocking-Pop-ups-Slides.zip,1479,4,"",1479,6,Tabbed-Browsing-Blocking-Pop-ups-Assignment.txt,1,4,76,1479,4,"Firefox, Tabbed browsing, Content offline, blocking Pop-ups, video tutorial.",1,4,2014-07-27 13:07:44,2018-05-18 09:52:55,,6,1479
78,78,Loops-Foreach-Statement-Slides.zip,1479,4,Loops-Foreach-Statement-Codefiles.zip,7,4,Loops-Foreach-Statement-Assignment.pdf,1479,4,75,1479,4,"PHP-and-MySQL, Foreach tutorial, video tutorial.",1,4,2014-07-27 13:07:44,2018-06-28 06:15:53,,6,1479
79,79,Functions-Basic-Slides.zip,1479,4,Functions-Basic-Codefiles.zip,7,4,Functions-Basic-Assignment.pdf,1479,4,78,1479,4,"PHP-and-MySQL, Create a function, Syntax of function, To input values, video tutorial.",1,4,2014-07-27 13:07:44,2018-06-28 06:19:30,,6,1479
80,80,Functions-Advanced-Slides.zip,1479,4,Functions-Advanced-Codefiles.zip,7,4,Functions-Advanced-Assignment.pdf,1479,4,79,1479,4,"PHP-and-MySQL, To create a calculated program, video tutorial.",1,4,2014-07-27 13:07:44,2018-06-28 06:17:25,,6,1479
81,81,GET-Variable-Slides.zip,1479,4,GET-Variable-Codefiles.zip,7,4,GET-Variable-Assignment.pdf,1479,4,80,1479,4,"PHP-and-MySQL, Get Variables, video tutorial.",1,4,2014-07-27 13:07:44,2018-06-28 06:20:33,,6,1479
82,82,POST-Variable-Slides.zip,1479,4,POST-Variable-Codefiles.zip,1479,4,POST-Variable-Assignment.pdf,1479,4,81,1479,4,"PHP-and-MySQL, Post variables, video tutorial.",1,4,2014-07-27 13:07:44,2014-07-27 13:15:51,,6,1479
83,83,Embedding-PHP-Slides.zip,1479,4,Embedding-PHP-Codefiles.zip,7,4,Embedding-PHP-Assignment.pdf,1479,4,82,1479,4,"PHP-and-MySQL, Embedding php code inside html code, video tutorial.",1,4,2014-07-27 13:07:45,2018-06-28 06:06:36,,6,1479
84,84,Common-Way-to-Display-HTML-Slides.zip,1479,4,Common-Way-to-Display-HTML-Codefiles.zip,1479,4,Common-Way-to-Display-HTML-Assignment.pdf,1479,4,83,1479,4,"PHP-and-MySQL, Displaying HTML inside php, video tutorial.",1,4,2014-07-27 13:07:45,2014-07-27 13:15:51,,6,1479
85,85,Common-Errors-Part-1-Slides.zip,1479,4,Common-Errors-Part-1-Codefiles.zip,1479,4,Common-Errors-Part-1-Assignment.pdf,1479,4,84,1479,4,"PHP-and-MySQL, Common Errors encountered  in php, video tutorial.",1,4,2014-07-27 13:07:45,2014-07-27 13:15:51,,6,1479
86,86,Common-Errors-Part-2-Slides.zip,1479,4,Common-Errors-Part-2-Codefiles.zip,7,4,Common-Errors-Part-2-Assignment.pdf,1479,4,85,1479,4,"PHP-and-MySQL, Spotting and fixing errors, video tutorial.",1,4,2014-07-27 13:07:45,2018-06-28 05:56:01,,6,1479
87,87,Common-Errors-Part-3-Slides.zip,1479,4,Common-Errors-Part-3-Codefiles.zip,7,4,Common-Errors-Part-3-Assignment.pdf,1479,0,86,1479,4,"PHP-and-MySQL, Errors encountered  in php, video tutorial.",1,4,2014-07-27 13:07:45,2018-06-28 05:57:01,,6,1479
88,88,File-Upload-Part-1-Slides.zip,1479,4,File-Upload-Part-1-Codefiles.zip,7,4,File-Upload-Part-1-Assignment.pdf,1479,4,100,1479,4,"PHP-and-MySQL, Creating simple php upload script, video tutorial.",1,4,2014-07-27 13:07:45,2018-06-28 06:14:16,,6,1479
89,89,File-Upload-Part-2-Slides.zip,1479,4,File-Upload-Part-2-Codefiles.zip,7,4,File-Upload-Part-2-Assignment.pdf,1479,4,88,1479,4,"PHP-and-MySQL, Uploading file and moving to uploaded folder, video tutorial.",1,4,2014-07-27 13:07:46,2018-06-28 06:15:11,,6,1479
