question_id,body
8,"Hi Arunendra,<div><br></div><div>The errors which are shown in the command terminal means that the repository from which you are downloading the packages does seem to have some it. You can try changing the repository and then try : ""sudo apt-get update"" to check . Also check with the System admins in your collage in case of some proxy issues while downloading these packages. &nbsp;</div><div><br></div><div>If all the packages are downloaded properly I don't think there would be any problem while checking OpenFOAM installation.</div><div><br></div><div>P.S : O<span style=""line-height: 1.428571429;"">pen up a new command terminal&nbsp;</span><span style=""line-height: 1.428571429;"">for running the command icoFoam -help.</span></div><div><span style=""line-height: 1.428571429;""><br></span></div><div><span style=""line-height: 1.428571429;"">Regards,</span></div>"
8,"
            Another point, you can run the command &nbsp;"" icoFoam -help "" directly on the command terminal. There is no need to go inside OpenFOAM folder .
        "
9,"
            
            Dear Imran,<br>You have accessed the wrong tutorial in the wrong software series for your above mentioned purpose.&nbsp; You can use LibreOffice Calc for your requirements.&nbsp; We have a series of tutorials on LibreOffice Calc.&nbsp; Pls go through them step-by-step.&nbsp; You will be able to learn how to make the changes you require after you have gone through the series.<br>
        
        "
9,"
            I have shifted this question to LibreOffice Calc.<br>
        "
8,"I DID THE SAME THING BUT STILL, IT IS NOT ISTALLING"
10,"
            
            Dear Alaguraja<br><br>Please write in to <a href=""mailto:contact@spoken-tutorial.org"" title="""" target="""">contact@spoken-tutorial.org</a> with your queries for details about the training program.<br>
        
        <div><br></div>"
11,"Hi Sangeetha, In the present version of Oscad fourier series feature is not available and we are working on it. Probably in the next version of Oscad you will be able to see it. Thanks!"
8,"Dear Sir,<br><br>Thanks for the reply.<br><br>I have tried to install through senaptic package manager. Then also it fails. I had full privilages for Internet access. Following is list of errors:<br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/main/libx/libxt/libxt-dev_1.1.1-2_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/main/libi/libibverbs/libibverbs1_1.1.3-2ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/libopenmpi1.3_1.4.3-2.1ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/s/scotch/libscotch-5.1_5.1.11.dfsg-7_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/s/scotch/libptscotch-5.1_5.1.11.dfsg-7_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/openmpi-common_1.4.3-2.1ubuntu1_all.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/main/libi/libibverbs/libibverbs-dev_1.1.3-2ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/libopenmpi-dev_1.4.3-2.1ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/m/mpi-defaults/mpi-default-dev_0.6ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/main/z/zlib/zlib1g-dev_1.2.3.4.dfsg-3ubuntu3_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/s/scotch/libscotch-dev_5.1.11.dfsg-7_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/openmpi-bin_1.4.3-2.1ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://www.openfoam.org/download/ubuntu/./dists/oneiric/main/binary-i386/openfoam210_0-1_i386.deb<br>&nbsp; Could not connect to kaz.dl.sourceforge.net:80 (88.204.157.163). - connect (101: Network is unreachable)<br><br><br>W: Failed to fetch http://www.openfoam.org/download/ubuntu/./dists/oneiric/main/binary-i386/paraviewopenfoam3120_0-1_i386.deb<br>&nbsp; Unable to connect to kaz.dl.sourceforge.net:http:<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/s/scotch/libptscotch-dev_5.1.11.dfsg-7_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/openmpi-checkpoint_1.4.3-2.1ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br>Thanking you,<br><br><br><br>"
12,"Dear Arunendra,<br><br>All the above errors are due to the proxy issues in your college. You can try installing OpenFOAM from source pack , but it will take about 5/6 hours. Follow the steps on this link : http://openfoam.org/download/source.php <br><br>I hope this works out for you.<br><br>Regards,<br><br>Rahul<br>"
13,"<p>mysql_connect() and mysql_pconnect() both are working for database 
connection but with little difference. In mysql_pconnect(), ‘p’ stands 
for persistance connection.</p>
<p>When we are using mysql_connect() function, every time it is opening 
and closing the database connection, depending on the  request .</p>
<p>But in case of mysql_pconnect() function,<br>
First, when connecting, the function would  try to find a (persistent) 
connection that’s already open with the same host, username and 
password. If one is found, an identifier for it will be returned instead
 of opening a new connection.<br>
Second, the connection to the SQL server will not be closed when the 
execution of the script ends. Instead, the connection will remain open 
for future use (mysql_close() will not close connection established by 
mysql_pconnect()).</p>
<p>mysql_pconncet() is useful when you have a lot of traffice on your 
site. At that time for every request it will not open a connection but 
will take it from the pool. This will increase the efficiency of your 
site. But for general use mysql_connect() is best.</p>"
