,Unnamed: 0,question_id,parsed_title,parsed_body_ques,parsed_body_ans,category,tutorial,keyword,cos
2549,2549,2973.0,"how to modify the label of x any y axis such as font size, color of font , width of axis etc.","how to modify the label of x any y axis such as font size, color of font , width of axis etc.","this might answer your question:there is text object and properties of the text objects can be used with xlabel and ylabel.you can modify the size and color of a xlabel and ylabel by using the text properties.ylabel(r""$\frac{(sin(x)^2}{x}$"", color='r', fontsize=20)eventhough it is posible to specify fontfamily(family) and fontname attributes, i haven't seen much changes in the diagram. note that there is a reference of valid arguments available in the matplotlib help section:https://matplotlib.org/3.2.2/api/text_api.html#module-matplotlib.textwe are basically using the python's matplotlib and numpy libraries, as i understands.i don't understand what you mean by width of the axis? did you mean setting the limit using xlim() and ylim()? could you please expand on it, so that it might contribute more towards learning?best regards,",Python-3.4.3,Multiple-plots,"Python, Drawing multiple plots, Figure and legend command, Creating and switching between subplots, video tutorial.",0.24618298195866548
3461,3461,2827.0,return function is function definition,there is no return function in function definition . how can it return from definition to calling function,"i am referring to 5:00 mins and after. yeah, there is an error! there should be a return statement ""return c;"" in the function definition. sorry for the inconvenience caused!",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3467,3467,2903.0,return type,"while doing function ising parameters, pls tell what is the signifine of giving int as return type for main()? can't we use void main()?","#include<stdio.h>void main() {int n,square;clrscr() ;printf (""enter the value of n"") ;scanf(""%d"", &n) ;square=n*n;printf (""square=%d"") ;getch() ;}",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3465,3465,2903.0,return type,"while doing function ising parameters, pls tell what is the signifine of giving int as return type for main()? can't we use void main()?","we can use void main() to indicate to the os that it will not return value back. to be on the safer side, we write int main(), to indicate all has gone well by returning 0 (convention of the operating system).",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3463,3463,2903.0,return type,"while doing function ising parameters, pls tell what is the signifine of giving int as return type for main()? can't we use void main()?","we can use void main() to indicate to the os that it will not return value back. to be on the safer side, we write int main(), to indicate all has gone well by returning 0 (convention of the operating system).",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3469,3469,2903.0,return type,"while doing function ising parameters, pls tell what is the signifine of giving int as return type for main()? can't we use void main()?","#include<stdio.h>void main() {int n,square;clrscr() ;printf (""enter the value of n"") ;scanf(""%d"", &n) ;square=n*n;printf (""square=%d"") ;getch() ;}",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
6516,6516,3107.0,lstsq function,what is the use of rcond argument in the function lstsq? what are the values that it can take?,"cut-off ratio for small singular values of 1st param. for the purposes of rank determination, singular values are treated as zero if they are smaller than rcond times the largest singular value of 1st param.please see this link for more details - https://numpy.org/doc/stable/reference/generated/numpy.linalg.lstsq.html",Python-3.4.3,Least-square-fit,"Python, Generationg least square fit line, video tutorial.",0.0
6340,6340,2280.0,getting started with symbolics,"dear alli am getting following error whilw finding value of sin pi/4 i typed n(sin(pi/4))in jupyter notebook shelltypeerror                                 traceback (most recent call last)<ipython-input-26-16cf6d20b88c> in <module>()----> 1 n(sin(pi/integer(4)))/opt/sagemath-9.0/local/lib/python3.7/site-packages/sage/misc/functional.py in numerical_approx(x, prec, digits, algorithm)   1417         return numerical_approx_generic(x, prec)   1418     else:-> 1419         return n(prec, algorithm=algorithm)   1420    1421 n = numerical_approx/opt/sagemath-9.0/local/lib/python3.7/site-packages/sage/symbolic/expression.pyx in sage.symbolic.expression.expression.numerical_approx (build/cythonized/sage/symbolic/expression.cpp:34714)()   5998             res = x.pyobject()   5999         else:-> 6000             raise typeerror(""cannot evaluate symbolic expression numerically"")   6001    6002         # important -- the  we get might not be a valid output for numerical_approx intypeerror: cannot evaluate symbolic expression numericallykindly suggestregards",just type n * sin(pi/4) inside the ipython terminal.,Python,Getting-started-with-symbolics,"Python, Symbolic expressions, Symbolic functions, Integration, differentiation, Matrices, video tutorial.",0.0
3471,3471,2903.0,return type,"while doing function ising parameters, pls tell what is the signifine of giving int as return type for main()? can't we use void main()?","#include<stdio.h>int mun(int num){int square=num*num;}int main(){int square;square=mun(16);printf(""square is %d\n"", square);return 0;}",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3473,3473,2903.0,return type,"while doing function ising parameters, pls tell what is the signifine of giving int as return type for main()? can't we use void main()?","#include<stdio.h>int mun(int num){int square=num*num;}int main(){int square;square=mun(16);printf(""square is %d\n"", square);return 0;}",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
6238,6238,2110.0,difference between the commands,"i have confusion between %run file and %run -i file. in both the cases, i am getting the output but i want to know which one to be used in which instance. what does -i indicates in the later command.",%run is used to run the named file inside ipython as a program.the -i option will run the file in ipython's namespace instead of an empty one. this is useful if you are experimenting with code written in a text editor which depends on variables defined interactively.,Python-3.4.3,Parsing-data,"Python, Spliting a string, Removing the whitespace, Converting the datatypes, video tutorial.",0.0
3455,3455,2095.0,why main function main() without data type works on gcc compiler without error? (not related to tutorial video),i have question whenever we use int main() we have to return zero at the end and according to definition default value of main function is integer. why it is not giving error in compilation in gcc compiler ? as it is mandatory to return zero at the end but it works properly. even int main() also working without return(0).,"by discipline, you must write the return statement for int main(). however, some of the recent compilers, as a special case, returns 0 from the main function by default. this is applicable only to the main function.",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3459,3459,2827.0,return function is function definition,there is no return function in function definition . how can it return from definition to calling function,"i am referring to 5:00 mins and after. yeah, there is an error! there should be a return statement ""return c;"" in the function definition. sorry for the inconvenience caused!",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3457,3457,2095.0,why main function main() without data type works on gcc compiler without error? (not related to tutorial video),i have question whenever we use int main() we have to return zero at the end and according to definition default value of main function is integer. why it is not giving error in compilation in gcc compiler ? as it is mandatory to return zero at the end but it works properly. even int main() also working without return(0).,"by discipline, you must write the return statement for int main(). however, some of the recent compilers, as a special case, returns 0 from the main function by default. this is applicable only to the main function.",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3477,3477,2903.0,return type,"while doing function ising parameters, pls tell what is the signifine of giving int as return type for main()? can't we use void main()?","#include<iostream>using namespace std;int mun(int num){int square=num*num;}int main(){int square;square=mun(16);cout<<""square is %d\n""<<square;return 0;}",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3453,3453,2080.0,program not compiling/running on turboc,"i was trying to run the ""function with parameters"" program displayed at the online video using turboc(i typed a exactly same program shown in the video). but, it wasn't compiling/running and produced following error,error#1 - function should return a value,error#2 - ""c"" is assigned a value that is never used.however, it was compiling/running successfully when the same program ran at mingw. why was it not compiling/running at turboc? can i continue use turboc?",please continue to use mingw only.  it is the standard compiler.  programs that work on mingw will work on linux machines also without any change.  that is not the case with turbo c compiler.the reason why a program that works on mingw may not work on turbo c (and vice versa) is that the default header files may be different.we are not in a position to answer your questions on turbo c.,C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3451,3451,2080.0,program not compiling/running on turboc,"i was trying to run the ""function with parameters"" program displayed at the online video using turboc(i typed a exactly same program shown in the video). but, it wasn't compiling/running and produced following error,error#1 - function should return a value,error#2 - ""c"" is assigned a value that is never used.however, it was compiling/running successfully when the same program ran at mingw. why was it not compiling/running at turboc? can i continue use turboc?",please continue to use mingw only.  it is the standard compiler.  programs that work on mingw will work on linux machines also without any change.  that is not the case with turbo c compiler.the reason why a program that works on mingw may not work on turbo c (and vice versa) is that the default header files may be different.we are not in a position to answer your questions on turbo c.,C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3449,3449,1946.0,return statement,for gcc compiler return statement is necessary or not at function definition?,you can check it for yourself,C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3447,3447,1946.0,return statement,for gcc compiler return statement is necessary or not at function definition?,you can check it for yourself,C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3445,3445,1943.0,function,"return statement from function definition to function call is necessary or not, while we return value from it(definition to call)?",if return type of the function is void then no need of writing return statement in function definition,C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3443,3443,1943.0,function,"return statement from function definition to function call is necessary or not, while we return value from it(definition to call)?",if return type of the function is void then no need of writing return statement in function definition,C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3441,3441,1943.0,function,"return statement from function definition to function call is necessary or not, while we return value from it(definition to call)?","it is necessary, but some compilers do not check it.",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3439,3439,1943.0,function,"return statement from function definition to function call is necessary or not, while we return value from it(definition to call)?","it is necessary, but some compilers do not check it.",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3437,3437,1930.0,functions in c & cpp,"#include<iostream>using namespace std;double add(double a, double b){    double c = a + b;}int main(){    double sum;    sum = add(50.4,4.5);    cout<<""sum is : ""<<sum<<""\\n"";    return 0;    }output issum is : nanmay i know why the ans is nan for double data type?  same has already worked for int. is there any problem with double or float data type.","since double add(double a, double b); is a non-void function, you may need to return a double type at the end of the function. ",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
3435,3435,1930.0,functions in c & cpp,"#include<iostream>using namespace std;double add(double a, double b){    double c = a + b;}int main(){    double sum;    sum = add(50.4,4.5);    cout<<""sum is : ""<<sum<<""\\n"";    return 0;    }output issum is : nanmay i know why the ans is nan for double data type?  same has already worked for int. is there any problem with double or float data type.","since double add(double a, double b); is a non-void function, you may need to return a double type at the end of the function. ",C-and-Cpp,Functions,"Python-Old-Version, Functions , function call, video tutorial.",0.0
