id,uid,category,tutorial,minute_range,second_range,title,body,date_created,date_modified,views,status
11,925,Oscad,General,None,None,help with astable,"
        
        Respected Sir, For my project in B.Sc. Physics at Lady Doak College Madurai, I am trying to get the fourier components of the output of an astable multivibrator I have used taken the inbuilt circuit from the library and followed the instructions similar to building the BJT amplifier (in the manual). While trying to modify the KiCad netlist for ngspice I tried to use the fourier tab but got no response. Please let me know how to go about this Thanking you sincerely sangeetha.
    
    ",2014-01-31 12:17:04,2020-10-07 09:51:12,864,1
12,15684,OpenFOAM,General,None,None,Installation problem in OpenFoam,"
        
        <br>Dear Sir,<br><br>I have used Synaptic Package Manager to install OpenFoam. It failed with errors. Following is the list of errors. <br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/main/libx/libxt/libxt-dev_1.1.1-2_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/main/libi/libibverbs/libibverbs1_1.1.3-2ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/libopenmpi1.3_1.4.3-2.1ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/s/scotch/libscotch-5.1_5.1.11.dfsg-7_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/s/scotch/libptscotch-5.1_5.1.11.dfsg-7_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/openmpi-common_1.4.3-2.1ubuntu1_all.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/main/libi/libibverbs/libibverbs-dev_1.1.3-2ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/libopenmpi-dev_1.4.3-2.1ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/m/mpi-defaults/mpi-default-dev_0.6ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/main/z/zlib/zlib1g-dev_1.2.3.4.dfsg-3ubuntu3_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/s/scotch/libscotch-dev_5.1.11.dfsg-7_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/openmpi-bin_1.4.3-2.1ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://www.openfoam.org/download/ubuntu/./dists/oneiric/main/binary-i386/openfoam210_0-1_i386.deb<br>&nbsp; Could not connect to kaz.dl.sourceforge.net:80 (88.204.157.163). - connect (101: Network is unreachable)<br><br><br>W: Failed to fetch http://www.openfoam.org/download/ubuntu/./dists/oneiric/main/binary-i386/paraviewopenfoam3120_0-1_i386.deb<br>&nbsp; Unable to connect to kaz.dl.sourceforge.net:http:<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/s/scotch/libptscotch-dev_5.1.11.dfsg-7_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br><br>W: Failed to fetch http://us.archive.ubuntu.com/ubuntu/pool/universe/o/openmpi/openmpi-checkpoint_1.4.3-2.1ubuntu1_i386.deb<br>&nbsp; Unable to connect to us.archive.ubuntu.com:http: [IP: 91.189.91.14 80]<br><br>Please suggest the solution. Thanks.<br><br>
    
    ",2014-02-04 05:35:52,2020-10-09 22:09:02,1604,1
13,15074,PHP-and-MySQL,General,00-01,0-10,What is the difference between  MySQl_Connect and MYSQL_PConnect?,<br>,2014-02-10 04:04:30,2020-10-09 22:21:33,829,1
14,15684,OpenFOAM,Creating-simple-geometry-in-OpenFOAM,None,None,paraview window is not opening,"
        sir <br>thank for previous suggestions, we have installed the OPENFOAM<br>but when we are running the tutorial paraFoam window is not opening and showing following error<br><br><b style=""line-height: 1.428571429;"">admin123@ubuntu:~/OpenFOAM/admin123-2.2.2/run/tutorials/incompressible/icoFoam/cavity$ paraFoam</b><br><b><br>FATAL ERROR: ParaView reader module libraries do not exist<br></b><b style=""line-height: 1.428571429;""><br></b><div><b style=""line-height: 1.428571429;"">Please build the reader module before continuing:</b><b><br>cd $FOAM_UTILITIES/postProcessing/graphics/PV3Readers<br>./Allwclean<br>./Allwmake<br><br>admin123@ubuntu:~/OpenFOAM/admin123-2.2.2/run/tutorials/incompressible/icoFoam/cavity$ </b><br><br>please suggest the solution<br>&nbsp;&nbsp; thank you<br><br>
    </div>",2014-02-10 06:18:16,2020-10-09 22:55:30,3317,1
15,18878,What-is-Spoken-Tutorial,General,None,None,About time duration,"&nbsp;Hi <br>&nbsp;Here lots of students are interested to learn through spoken 
tutorial .. but due to college timing they demand me for flexible 
timings . but i don't know how much hours are required to complete it. <br>&nbsp;I want to schedule workshop for java , can you please tell me How many hours required to compete these course.<br><br>&nbsp;also if possible please tell me numbers of hours required to complete all the software listed in spoken tutorial <br><br>- Rahul ",2014-02-13 06:59:23,2020-10-09 17:34:22,749,1
16,8159,Oscad,Schematic-Creation-and-Simulation,00-01,None,how to set values forTransformers in oscad schematic,"        <div id=""yui_3_13_0_ym1_1_1392272681951_16821"" style=""color:rgb(0, 0, 0);font-size:16px;font-family:times new roman, new york, times, serif;background-color:transparent;font-style:normal;"">I
 tried but i cannot set exact value for tranformer 1:2 like that, if any
 examples using transformer symbols circuit you can sent for me for my 
project work. i m doing M.tech Applied electonics&nbsp; final year at Dr. M.G.R Edu &amp; Research Institute University Chennai I showing some fatal error to set z0 values i donot know what type&nbsp; of numbers put&nbsp; in oscad tool for transformers<br></div><div id=""yui_3_13_0_ym1_1_1392272681951_16835"" style=""color:rgb(0, 0, 0);font-size:16px;font-family:times new roman, new york, times, serif;background-color:transparent;font-style:normal;""><br></div>
    ",2014-02-13 07:30:11,2020-10-04 03:50:21,1185,1
17,18970,What-is-Spoken-Tutorial,General,None,None,Online course,"
        
        
        Respected Madam/Sir,<div>I am interested to do online courses through spoken tutorial.</div><div>Will you please tell me about the procedure that I should do to do the courses.</div><div>Is there any constraint behind this?</div><div>It will be helpful if you help me out.</div><div>Thank you.</div>
    
    
    ",2014-02-13 12:22:59,2020-10-09 17:08:09,820,1
18,19225,Python,Saving-plots,01-02,10-20,Ipython,"        IN Your tutorial 1-3,and&nbsp; about saving plot like /home/fossee/file_name.png .but if i do same way not get same result . and in 2-1 tutorial it is given for prime no as/cat/home/fossee/primes.txt ,if apply same command on editor like&nbsp; ipython QTC not working<br>
    ",2014-02-18 07:50:10,2020-10-06 18:43:58,1132,1
19,5843,PHP-and-MySQL,MySQL-Part-1,None,None,MySQL database -language ,"sir, while storing data in MySQL database I tried to store data in language tamil, that is the data is of tamil script. the DB successfully accepted them. But When I view in phpMyadmin's GUI page, the values(tamil scripts are )are encrypted in some other form and I can only see the encrypted form.<div>&nbsp; &nbsp; But when I retrieved from the DB using mysql_query() and mysql_fetch_array() I saw the original tamil script. Though it is, the length of the field is not enough to store the actual number of characters(i.e name varchar(10), stores only three tamil characters but 10 english characters).</div><div>&nbsp; &nbsp; My questions are all about the language! I hope you will help me below are my questions. please help me !!!</div><div>&nbsp; &nbsp; &nbsp; &nbsp; 1) Can I store data in my mother tongue (or Is any Indian regional language is compatible with MySql) if so how??? (Note: I am not speaking about the translation, but the originality of storing raw regional lanuage script...)</div><div>&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</div><div><br></div><div><br></div>",2014-02-19 15:40:33,2020-10-11 05:35:53,2971,1
20,5843,PHP-and-MySQL,MySQL-Part-2,None,None,Data retrieval from Database,"
        Can anyone tell me how the search function is done in websites??? i.e Some websites provide online dictionary, I think they use database like MySQL , to store words and meanings in tables , if a user enters a word in browser and hits ""search"" the corresponding word appears with meaning , how the ""search function"" above is done??? do they use any algorithm ? or simply storing and retrieving using the function like mysql_fetch_array()????<div><br></div><div>I messed up in this please help me to get cleared!&nbsp;</div>
    ",2014-02-19 15:56:19,2020-10-11 00:36:15,1265,1
21,19913,Oscad,Schematic-Creation-and-Simulation,01-02,0-10,Error opening eeschema Editor Schematic on Windows 7 64 bit,"<div class=""gmail_default"" style=""font-family: 'comic sans ms', sans-serif; font-size: 13px; line-height: normal;"">I am unable to now open Editor for Schematic and getting this error &nbsp;</div><div class=""gmail_default"" style=""font-family: 'comic sans ms', sans-serif; font-size: 13px; line-height: normal;"">How to fix this ?</div><div class=""gmail_default"" style=""font-family: 'comic sans ms', sans-serif; font-size: 13px; line-height: normal;""><br></div><div class=""gmail_default"" style=""font-size: 13px; line-height: normal; font-family: arial, sans-serif;""><blockquote class=""gmail_quote"" style=""margin-bottom: 0px; margin-left: 0.8ex; border-left-color: rgb(204, 204, 204); padding-left: 1ex;""><font face=""courier new, monospace"">'eeschema' is not recognized as an internal or external command,operable program or batch file.</font></blockquote><div style=""font-family: 'comic sans ms', sans-serif;""><br></div><div style=""font-family: 'comic sans ms', sans-serif;"">OS: Windows 7 64 bit</div></div>",2014-02-27 13:03:49,2020-10-09 16:21:57,1453,1
22,20025,Oscad,Introduction-to-Oscad,None,None,Cannot Open OSCAD Workspace in Windows 7 and Cannot Find KiCad in Installation Folders,"
        
        <div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">I installed the OSCAD installer for Windows 7 from the&nbsp;<a href=""http://www.oscad.in/downloads"" target=""_blank"" style=""color: rgb(17, 85, 204); background-color: rgb(255, 255, 255);"">website</a>, and after installing it, ran the software.<div><div><br></div><div>When I try to run OSCAD from the Start Menu, the cmd flashes for a second, and then the software doesn't launch. I took a screenshot, and found out that the cmd gave this:</div></div><div><br></div><div><br></div><div><b>C:\OSCAD&gt; cd OSCAD</b></div><div><b><br></b></div><div><b>C:\OSCAD\OSCAD&gt; cd forntEnd</b></div><div><b><br></b></div><div><b>C:\OSCAD\OSCAD\forntEnd&gt;python oscad.py</b></div><div><b>'python' is not recognized as an internal or external command,</b></div><div><b>operable program or batch file.</b></div><div><b><br></b></div><div><b><br></b></div><div>Apparently, I found a way to 'fix' this. I opened cmd, and typed out all of the above manually. the last command I changed to ""oscad.py"" instead of ""python oscad.py"", and the little window with the OSCAD logo opened. But when I created a new project, only the Toolkit appeared, and no workspace was on the screen.</div><div><br></div><div>???</div></div>
    
    
    ",2014-03-01 16:30:15,2020-10-08 22:02:36,1247,1
23,5843,PHP-and-MySQL,MySQL-Part-2,None,None,can I protect databases using separate passwords?,"Hello Friends! <br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; <br>&nbsp; &nbsp; For phpMyadmin I have given a password so that I can use that password to see my databases, If my friend wants to use my Laptop I have to give him the phpMyadmin password but he/she can also see my personal databases which I am having already! <br>&nbsp; &nbsp;&nbsp; Can I able to protect my personal DBs from others??? so that we can share some common databases but not all ? If yes how can I ? please help me!&nbsp; <br>",2014-03-05 14:52:54,2020-10-09 22:25:06,915,1
24,5843,PHP-and-MySQL,MySQL-Part-4,None,None,could you please demo or give example to store and retrieve image in MySql?,"
        hello sir,<br>&nbsp;&nbsp;&nbsp; <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Through out the second level you taught how to store data , i.e only text data, today I came to know that we can store and retrieve images and display them on our webpage if so could you please make a demo for me or could you please give me a link to do that, all using php? please.....<br>
    ",2014-03-11 15:18:42,2020-10-07 01:04:52,976,1
25,16247,PHP-and-MySQL,General,00-01,0-10,Issue regarding PHP-MySQL Test !,"<span style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">Dear Sir,</span><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><br></div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">I am writing to you in reference to the tests TC-2486 and TC-2489. it was sadly noted that the questions were not shuffled. This has created a discontent in the managing team and also the IT Consultant of our college.&nbsp;</div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><br></div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">Adding to it, it was also found that the multiple choices of the questions weren't shuffled. Even after strict invigilation which was present on the day of the test, we feel that some of the students might be able to copy.&nbsp;<span style=""background-color: rgb(248, 248, 248); color: rgb(85, 85, 85); font-family: Verdana, Tahoma, 'DejaVu Sans', sans-serif; font-size: 14px; line-height: 18.003999710083008px;""><br></span><br>We request you to look into this matter at the earliest.<br></div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><br></div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">Sincerely,</div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">Abhishek Gharat</div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">Student Organizer @ SJCET, Palghar<br><br><br>Dear All,</div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><br>If you have noticed the same for the PHP &amp; MySQL tests kindly comment.</div>",2014-03-12 16:43:46,2020-10-11 01:42:15,1346,1
26,20963,Oscad,Schematic-Creation-and-Simulation,None,None,error opening schematic editor,"&nbsp;I have installed Kicad and python too but when I open Oscad I get the tool window but I do not get the schematic editor window but instead the following message. The environment variables are also set correctly and Kicad is installed right.&nbsp;<div>""EESCHEMA IS NOT RECOGNISED AS AN INTERNAL OR EXTERNAL COMMAND, OPERABLE PROGRAM OR BATCH FILE""</div><div>&nbsp;i saw a similar post here and tried re-installing kicad and its right. But when I try to follow a similar procedure for Ngspice, it did not open and I got a message saying ""Can't open init file"" . What could be the problem?</div><div><br></div><div><br><div><br></div></div>",2014-03-13 07:45:11,2020-09-30 08:22:41,809,1
27,985,Oscad,Schematic-Creation-and-Simulation,01-02,None,SMCSIM ,"<span style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">Sir,</span><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><br></div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; I noticed while going through the Oscad manual. My toolbar window doesn't have SMCSIM option in it. What could have gone wrong sir?</div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><br></div><div style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">(query by Swetha Kannan)</div>",2014-03-17 14:05:50,2020-10-02 00:28:47,872,1
28,985,Oscad,Schematic-Creation-and-Simulation,00-01,40-50,dc voltage/current through resistor,"        
        
                <span style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">Hi,</span><br style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><span style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">I learnt the procedure to use the oscad software.&nbsp;</span><br style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><span style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">1.Suppose I want to know the dc voltage/current across/through the resistor in the very simple circuits containing a mesh of resistors and a dc source.Do I use vplot or vprint and where do I see the required dc value of current/voltage?</span><br style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><span style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">2.Is there any constant current source available in libraries?</span><div><span style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;""><br></span></div><div><span style=""font-family: arial, sans-serif; font-size: 13px; line-height: normal;"">(query by Rahul Srivastava)</span></div>
    
    
    
    ",2014-03-17 14:16:23,2020-10-08 01:13:26,734,1
29,20062,PHP-and-MySQL,File-Upload-Part-2,04-05,0-10,Errors in the language while dubbing ,"Hi,<br><br>Thanks for the spoken tutorials. It is helping me learn php very quickly.<br><br>I was watching this video and in the part, speaker keeps calling Video.avi where as he should say video/avi. This is repeated 4-5 times after this instance.<br><br>P.S. Not sure if this forum is right place to report bugs/issues in the tutorials. Please point me to right place. Noticed a similar issue in Cookies 2 video where speaker keeps saying setting time in future where he should say in setting time in past.<br><br>",2014-03-18 06:36:08,2020-10-07 01:07:13,903,1
